signal_event_time,timestamp,open,high,low,close,volume,close_time,quote_av,trades,taker_base_vol,taker_quote_vol,ignore
20230505_160000,2023-05-05 9:00,29046,29046,29033.5,29038.6,303.964,1.68E+12,8826862.505,3156,81.058,2353792.954,0
20230505_160000,2023-05-05 9:01,29038.6,29046.4,29034.9,29045.5,172.477,1.68E+12,5008806.067,2508,104.523,3035462.036,0
20230505_160000,2023-05-05 9:02,29045.4,29050,29041.9,29049.9,122.395,1.68E+12,3555126.493,1993,74.865,2174599.572,0
20230505_160000,2023-05-05 9:03,29050,29061.4,29049.9,29055.9,211.088,1.68E+12,6133347.742,2730,147.669,4290650.645,0
20230505_160000,2023-05-05 9:04,29055.9,29065.6,29054.6,29054.6,132.895,1.68E+12,3861772.47,2317,69.844,2029575.255,0
20230505_160000,2023-05-05 9:05,29054.7,29060.3,29046.3,29056.2,173.129,1.68E+12,5030190.072,2657,76.161,2212881.998,0
20230505_160000,2023-05-05 9:06,29056.2,29056.2,29050.8,29053.3,66.372,1.68E+12,1928297.42,1397,31.876,926074.4113,0
20230505_160000,2023-05-05 9:07,29053.3,29053.5,29053.2,29053.5,41.067,1.68E+12,1193130.324,1017,25.519,741411.17,0
20230505_160000,2023-05-05 9:08,29053.4,29059.9,29053.4,29059.8,85.864,1.68E+12,2494889.314,1534,45.383,1318636.667,0
20230505_160000,2023-05-05 9:09,29059.9,29062.5,29057.5,29062.5,123.894,1.68E+12,3600386.712,2005,70.793,2057272.583,0
20230505_160000,2023-05-05 9:10,29062.4,29062.5,29056.4,29061,189.371,1.68E+12,5503010.705,1808,94.447,2744596.986,0
20230505_160000,2023-05-05 9:11,29061,29061,29059.7,29060.1,92.022,1.68E+12,2674163.846,1035,58.904,1711743.639,0
20230505_160000,2023-05-05 9:12,29060.1,29061.9,29060,29061.9,84.056,1.68E+12,2442783.385,924,71.027,2064140.059,0
20230505_160000,2023-05-05 9:13,29061.9,29061.9,29042.8,29042.8,148.929,1.68E+12,4327248.192,1714,25.015,726757.6852,0
20230505_160000,2023-05-05 9:14,29042.9,29042.9,29027,29027,290.681,1.68E+12,8439349.108,3001,76.743,2228111.828,0
20230505_160000,2023-05-05 9:15,29027.1,29035,29025.4,29030.2,301.184,1.68E+12,8743331.305,2994,155.767,4521910.426,0
20230505_160000,2023-05-05 9:16,29030.2,29031.3,29012.7,29021.1,569.975,1.68E+12,16541294.21,5804,218.063,6328525.888,0
20230505_160000,2023-05-05 9:17,29021,29037.8,29010,29037.8,418.666,1.68E+12,12150791.33,4710,208.346,6047229.073,0
