시각,연도,TF,진입가,저항_있나,SLtop_bp,SLmean_bp,SLbot_bp,저항두께_bp,SLmean_달러,지지_있나,TPtop_bp,TPmean_bp,TPbot_bp,지지두께_bp,TPtop_달러
2023-05-12 04:00,2023,5,26535.7,있음,60.0,51.1,42.1,17.9,135.55,없음,,,,,
2023-05-12 05:00,2023,5,26638.9,있음,21.1,12.1,3.2,17.8,32.35,있음,5.3,28.7,52.1,46.8,14.1
2023-05-12 06:00,2023,5,26197.1,있음,163.9,156.0,148.2,15.7,408.8,없음,,,,,
2023-05-12 07:00,2023,5,26298.4,있음,124.8,116.9,109.1,15.7,307.5,있음,21.3,48.3,75.4,54.1,55.9
2023-05-12 08:00,2023,5,26300.0,있음,31.9,16.6,1.3,30.6,43.55,있음,6.8,12.0,17.1,10.3,18.0
2023-05-12 09:00,2023,5,26285.4,있음,37.4,22.1,6.8,30.6,58.15,있음,1.3,6.4,11.6,10.3,3.4
2023-05-12 10:00,2023,5,26360.8,있음,100.8,93.0,85.2,15.6,245.1,있음,12.9,27.4,42.0,29.1,34.0
2023-05-12 11:00,2023,5,26349.6,있음,26.1,13.5,1.0,25.0,35.7,있음,8.7,23.2,37.7,29.1,22.8
2023-05-12 12:00,2023,5,26326.6,있음,13.7,7.7,1.7,12.0,20.3,있음,10.3,14.5,18.8,8.5,27.0
2023-05-12 13:00,2023,5,26394.1,있음,88.0,80.2,72.4,15.6,211.8,있음,5.6,11.4,17.2,11.6,14.8
2023-05-12 14:00,2023,5,26416.3,있음,79.6,71.8,64.0,15.6,189.6,있음,14.0,19.8,25.6,11.6,37.0
2023-05-12 15:00,2023,5,26324.3,있음,14.6,8.6,2.6,12.0,22.6,있음,9.4,13.7,17.9,8.5,24.7
2023-05-12 16:00,2023,5,26306.5,있음,21.4,15.4,9.4,12.0,40.4,있음,2.6,6.9,11.2,8.6,6.9
2023-05-12 17:00,2023,5,26289.2,있음,41.5,22.1,2.7,38.7,58.1,있음,2.7,7.9,13.0,10.3,7.2
2023-05-12 18:00,2023,5,26293.0,있음,40.0,20.7,1.3,38.7,54.3,있음,3.3,12.6,21.9,18.7,8.6
2023-05-12 19:00,2023,5,26267.6,있음,25.0,15.8,6.7,18.3,41.55,있음,9.6,36.7,63.8,54.2,25.1
2023-05-12 20:00,2023,5,26393.0,있음,61.7,38.2,14.8,46.9,100.95,있음,5.2,11.0,16.8,11.6,13.7
2023-05-12 21:00,2023,5,26473.6,있음,47.5,27.2,6.8,40.7,71.95,있음,8.3,24.7,41.1,32.8,21.9
2023-05-12 22:00,2023,5,26742.4,있음,62.6,41.4,20.2,42.4,110.8,있음,44.0,67.3,90.6,46.7,117.6
2023-05-12 23:00,2023,5,26682.5,있음,44.0,23.4,2.8,41.2,62.5,있음,21.6,45.0,68.4,46.8,57.7
2023-05-13 00:00,2023,5,26788.8,있음,45.2,24.0,2.9,42.3,64.4,있음,12.7,57.4,102.2,89.6,33.9
2023-05-13 01:00,2023,5,26844.0,있음,52.5,35.0,17.5,35.0,93.9,있음,6.1,26.0,45.9,39.7,16.4
2023-05-13 02:00,2023,5,26825.0,있음,19.3,11.8,4.3,15.0,31.65,있음,26.1,70.8,115.6,89.4,70.1
2023-05-13 03:00,2023,5,26774.1,있음,50.7,29.5,8.4,42.4,79.1,있음,7.2,52.0,96.8,89.6,19.2
2023-05-13 04:00,2023,5,26806.2,있음,26.3,18.8,11.3,15.0,50.45,있음,8.1,14.3,20.6,12.5,21.7
2023-05-13 05:00,2023,5,26782.7,있음,47.5,26.3,5.2,42.3,70.5,있음,10.4,55.2,100.0,89.6,27.8
2023-05-13 06:00,2023,5,26724.0,있음,28.2,16.3,4.3,23.9,43.45,있음,4.8,10.9,17.0,12.2,12.9
2023-05-13 07:00,2023,5,26729.2,있음,10.9,5.8,0.8,10.1,15.6,있음,6.8,12.9,19.0,12.2,18.1
2023-05-13 08:00,2023,5,26757.8,있음,46.7,26.3,5.9,40.8,70.4,있음,1.1,45.9,90.7,89.7,2.9
2023-05-13 09:00,2023,5,26800.0,있음,16.6,8.7,0.7,15.9,23.2,있음,5.8,12.0,18.2,12.5,15.5
2023-05-13 10:00,2023,5,26837.1,있음,55.1,37.6,20.0,35.0,100.8,있음,3.5,23.4,43.3,39.8,9.5
2023-05-13 11:00,2023,5,26819.9,있음,21.2,13.7,6.2,15.0,36.75,있음,3.3,19.9,36.5,33.2,8.9
2023-05-13 12:00,2023,5,26811.8,있음,15.3,8.1,0.8,14.5,21.6,있음,0.3,16.9,33.5,33.2,0.8
2023-05-13 13:00,2023,5,26808.7,있음,32.9,16.6,0.3,32.7,44.5,있음,2.5,5.6,8.7,6.2,6.8
2023-05-13 14:00,2023,5,26823.4,있음,21.1,11.8,2.5,18.6,31.65,있음,4.6,21.2,37.8,33.2,12.4
2023-05-13 15:00,2023,5,26762.0,있음,45.1,24.7,4.3,40.8,66.2,있음,2.7,47.5,92.3,89.6,7.1
2023-05-13 16:00,2023,5,26790.2,있음,13.0,6.9,0.9,12.2,18.6,있음,0.4,7.4,14.3,13.8,1.2
