[블렌드명] 260624_09_TSREV_DualBlend
[config] TS_TF=240 REV_TF=240 눌림목=60 N=8 피보=(0.30,0.47,0.88) ATR×0.69 er0.22 | REV분위0.37/롤링22 arm4 | w_rev=0.82 노출=1.80
[조건] TS추세+REV회귀(롤링정직·룩어헤드0)·피보스텝업(공유)·1m체결·스톱캡·실펀딩·현실비용 | 월상관 +0.33
[거래] TS 289 · REV 604 | 월수 36
[학습23~24]    복리 +785% MDD -20%
[★검증OOS25~26] 복리 +45% MDD -28%   ← 정직 held-out 진짜값
[전체]         복리 +1184% MDD -28% · 자본 $128,369 · CPCV p25 +70.2%
[판정] 검증OOS>0 = 룩어헤드 제거에도 살아남은 진짜 알파. 음수면 = 단일·블렌드 모두 미달(정직).

[월별표]
     년월  TS_거래수  TS_수익률(%)  REV_거래수  REV_수익률(%)  블렌드_수익률(%)  블렌드_누적자본($)    구간
2023-05      12      -1.28       14        7.16       10.20        11020    학습
2023-06       6      11.07       13       11.58       20.68        13299    학습
2023-07       9      -0.63       15        2.88        4.06        13839    학습
2023-08       3      -1.53       15       16.97       24.64        17249    학습
2023-09       7      -0.30       11        5.56        8.14        18653    학습
2023-10      14       8.78       16       24.43       38.98        25923    학습
2023-11       7       8.11       18      -10.23      -12.55        22669    학습
2023-12       8      -4.58       17        5.89        7.26        24314    학습
2024-01       9      -7.98       17        3.44        2.54        24932    학습
2024-02       6       7.35       12       19.62       31.40        32760    학습
2024-03       6       1.11       14       19.86       29.75        42507    학습
2024-04       8      -2.99       15       20.60       29.54        55066    학습
2024-05       8      -6.92       17        4.40        4.31        57439    학습
2024-06       4       0.70       17        1.11        1.87        58511    학습
2024-07       7      -0.69       17       10.13       14.78        67160    학습
2024-08       9      -6.04       16       16.90       23.09        82669    학습
2024-09      11       3.84       20        4.20        7.45        88825    학습
2024-10      10       1.68       16        3.73        6.06        94206    학습
2024-11       9      -7.16       21      -11.96      -20.00        75365    학습
2024-12       5       9.51       15        9.75       17.48        88535    학습
2025-01       8       1.36       16       23.79       35.66       120109 검증OOS
2025-02       6      -0.87       14        3.79        5.34       126521 검증OOS
2025-03       6      -2.45       14       27.89       40.51       177775 검증OOS
2025-04       8      -6.98       22       -8.10      -14.23       152483 검증OOS
2025-05       7      -2.61       16        1.19        0.93       153897 검증OOS
2025-06      10      -5.61       21       -7.43      -12.80       134199 검증OOS
2025-07       4       3.31       18        3.90        6.83       143366 검증OOS
2025-08       8       4.54       16       11.52       18.51       169904 검증OOS
2025-09      11       2.18       22       -2.70       -3.31       164286 검증OOS
2025-10      10      -1.49       21       -2.80       -4.62       156689 검증OOS
2025-11      10      -2.84       14        3.52        4.30       163424 검증OOS
2025-12       9      -6.36       22       -8.05      -13.95       140630 검증OOS
2026-01       9       5.43       21       -6.91       -8.50       128678 검증OOS
2026-02       5       8.64       11       14.82       24.70       160459 검증OOS
2026-03       9      -9.51       20       -6.55      -12.74       140021 검증OOS
2026-04      11      -0.92       20       -5.42       -8.32       128369 검증OOS
