[블렌드명] 260624_10_TSREV_Blend_Live_x10
[config] TS_TF=240 REV_TF=240 눌림목=60 N=8 피보=(0.30,0.47,0.88) ATR×0.69 er0.22 | REV분위0.37/롤링22 arm4 | w_rev=0.82 노출=1.00
[조건] TS추세+REV회귀(롤링정직·룩어헤드0)·피보스텝업(공유)·1m체결·스톱캡·실펀딩·현실비용 | 월상관 +0.33
[거래] TS 289 · REV 604 | 월수 36
[학습23~24]    복리 +261% MDD -11%
[★검증OOS25~26] 복리 +29% MDD -15%   ← 정직 held-out 진짜값
[전체]         복리 +366% MDD -15% · 자본 $46,595 · CPCV p25 +38.9%
[판정] 검증OOS>0 = 룩어헤드 제거에도 살아남은 진짜 알파. 음수면 = 단일·블렌드 모두 미달(정직).

[월별표]
     년월  TS_거래수  TS_수익률(%)  REV_거래수  REV_수익률(%)  블렌드_수익률(%)  블렌드_누적자본($)    구간
2023-05      12      -1.28       14        7.16        5.67        10567    학습
2023-06       6      11.07       13       11.58       11.49        11781    학습
2023-07       9      -0.63       15        2.88        2.25        12046    학습
2023-08       3      -1.53       15       16.97       13.69        13696    학습
2023-09       7      -0.30       11        5.56        4.52        14315    학습
2023-10      14       8.78       16       24.43       21.66        17415    학습
2023-11       7       8.11       18      -10.23       -6.97        16200    학습
2023-12       8      -4.58       17        5.89        4.03        16854    학습
2024-01       9      -7.98       17        3.44        1.41        17092    학습
2024-02       6       7.35       12       19.62       17.44        20073    학습
2024-03       6       1.11       14       19.86       16.53        23391    학습
2024-04       8      -2.99       15       20.60       16.41        27231    학습
2024-05       8      -6.92       17        4.40        2.39        27883    학습
2024-06       4       0.70       17        1.11        1.04        28172    학습
2024-07       7      -0.69       17       10.13        8.21        30485    학습
2024-08       9      -6.04       16       16.90       12.83        34397    학습
2024-09      11       3.84       20        4.20        4.14        35820    학습
2024-10      10       1.68       16        3.73        3.37        37025    학습
2024-11       9      -7.16       21      -11.96      -11.11        32911    학습
2024-12       5       9.51       15        9.75        9.71        36106    학습
2025-01       8       1.36       16       23.79       19.81        43260 검증OOS
2025-02       6      -0.87       14        3.79        2.97        44543 검증OOS
2025-03       6      -2.45       14       27.89       22.51        54569 검증OOS
2025-04       8      -6.98       22       -8.10       -7.90        50256 검증OOS
2025-05       7      -2.61       16        1.19        0.52        50514 검증OOS
2025-06      10      -5.61       21       -7.43       -7.11        46922 검증OOS
2025-07       4       3.31       18        3.90        3.80        48703 검증OOS
2025-08       8       4.54       16       11.52       10.28        53712 검증OOS
2025-09      11       2.18       22       -2.70       -1.84        52725 검증OOS
2025-10      10      -1.49       21       -2.80       -2.57        51370 검증OOS
2025-11      10      -2.84       14        3.52        2.39        52597 검증OOS
2025-12       9      -6.36       22       -8.05       -7.75        48521 검증OOS
2026-01       9       5.43       21       -6.91       -4.72        46230 검증OOS
2026-02       5       8.64       11       14.82       13.72        52574 검증OOS
2026-03       9      -9.51       20       -6.55       -7.08        48854 검증OOS
2026-04      11      -0.92       20       -5.42       -4.62        46595 검증OOS
