[Back2TV·REV단독] 260624_14_REVoi_MDDfree_36mo_v6
[세팅] REV_TF=240 눌림목=20 N=3 피보=(0.22,0.49,0.80) ATR×0.60 | REV분위0.32/롤링26 arm3
[사이징] 레버=13배 · 증거금=100% · 노출=13.0 (격리마진·유지증거금·강제청산)
[성적] 거래932·승률50%·PF1.09·복리+853337%($85,343,728)·MDD-85%·강제청산0회·단일최고월 +481%
[비용] 순손익$+85,333,728 = 손익금(무비용)$+107,784,821,675 − 총비용$107,699,487,947

[월별 통합표]
     년월  총합_거래수  총합_승률(%)  총합_수익팩터(PF)  총합_손익비  총합_수익금($)  총합_누적수익금($)  롱_거래수  롱_승률(%)  롱_수익팩터(PF)  롱_손익비  롱_수익금($)  롱_누적수익금($)  숏_거래수  숏_승률(%)  숏_수익팩터(PF)  숏_손익비  숏_수익금($)  숏_누적수익금($)  지정가_체결횟수  지정가_수수료($)  시장가_체결횟수  시장가_수수료($)  슬리피지($)    펀딩비($)   손익금_무비용($)       총비용($)  순손익금_현실($)
2023-05      23        48         0.40    0.43      -5093        -5093     10       40        0.12   0.18     -3929       -3929     13       54        0.71   0.61     -1164       -1164        23       435.7        23      1089.3        0     -44.6        -4132          961       -5093
2023-06      26        46         1.10    1.29        444        -4650     11       45        1.38   1.66       474       -3455     15       47        0.99   1.13       -31       -1194        26       347.7        26       869.2        0     -25.2         1915         1472         444
2023-07      22        68         3.13    1.46       5365          715      7      100         inf    NaN      2553        -902     15       53        2.12   1.85      2812        1618        22       445.5        22      1113.7        0       3.5        10615         5250        5365
2023-08      24        38         0.93    1.55       -383          332     11       36        0.64   1.12      -981       -1883     13       38        1.22   1.95       598        2215        24       601.3        24      1503.2        0       8.8         3031         3414        -383
2023-09      25        48         0.83    0.90       -906         -574     12       58        2.50   1.78      1986         104     13       38        0.30   0.49     -2893        -678        25       660.4        25      1651.1        0       8.1         2357         3263        -906
2023-10      29        41         0.76    1.08      -1999        -2572     11       73        6.50   2.44      4092        4196     18       22        0.21   0.72     -6091       -6768        29       503.0        29      1257.6        0      25.7         -174         1825       -1999
2023-11      25        56         2.12    1.67      13711        11138     16       56        2.38   1.85     13116       17312      9       56        1.22   0.98       594       -6174        25       872.7        25      2181.9        0     102.8        58785        45075       13711
2023-12      28        43         0.43    0.57     -11054           84     11       45        0.43   0.51     -4887       12426     17       41        0.42   0.61     -6167      -12341        28      1074.7        28      2686.9        0    -246.5       -34011       -22957      -11054
2024-01      20        50         1.01    1.01        106          190      8       38        0.67   1.12     -2218       10207     12       58        1.50   1.07      2324      -10017        20       462.2        20      1155.4        0    -235.5         7505         7399         106
2024-02      23        52         2.38    2.18      19161        19351      7       71        7.42   2.97     21157       31364     16       44        0.81   1.04     -1995      -12013        23       904.9        23      2262.1        0     -54.8       133115       113954       19161
2024-03      29        55         1.28    1.04      23417        42768     18       61        1.29   0.82     17899       49263     11       45        1.25   1.49      5518       -6495        29      2991.4        29      7478.5        0    1355.0       247552       224135       23417
2024-04      23        65         5.62    2.99     253848       296616      9       56        1.36   1.09     14649       63912     14       71       17.44   6.97    239199      232704        23      6586.3        23     16465.7        0   -1320.5      2519822      2265974      253848
2024-05      27        52         1.68    1.56     316184       612800     11       64        2.18   1.24    187787      251699     16       44        1.42   1.82    128397      361101        27     25890.0        27     64724.9        0   -5028.2      4344315      4028130      316184
2024-06      26        50         1.04    1.04      28476       641276      9       56        0.58   0.46   -104880      146819     17       47        1.28   1.44    133356      494458        26     47060.9        26    117652.3        0  -10873.8      1919861      1891384       28476
2024-07      31        45         0.82    0.99    -178141       463136     16       25        0.32   0.97   -453603     -306785     15       67        1.93   0.96    275463      769920        31     37136.7        31     92841.8        0   -2001.8      -682150      -504010     -178141
2024-08      27        52         1.31    1.21    1129521      1592657     12       50        1.28   1.28    402497       95713     15       53        1.33   1.16    727023     1496944        27    138468.6        27    346171.6        0    1597.0     27085954     25956433     1129521
2024-09      28        46         1.18    1.36     561419      2154076     14       50        1.71   1.71    859084      954797     14       43        0.85   1.13   -297665     1199279        28    160658.0        28    401645.1        0  -12972.4     23814128     23252709      561419
2024-10      30        57         1.14    0.87     371772      2525848     17       71        2.39   0.99   1673660     2628457     13       38        0.15   0.24  -1301888     -102610        30    174346.9        30    435867.4        0   23456.0     29373964     29002192      371772
2024-11      28        39         0.45    0.70   -1951600       574248      7       57        4.17   3.12    869262     3497720     21       33        0.14   0.28  -2820862    -2923472        28    111197.4        28    277993.4        0  -33095.0    -63553028    -61601428    -1951600
2024-12      22        64         1.62    0.93     460992      1035240     11       55        0.54   0.45   -248779     3248941     11       73        4.61   1.73    709770    -2213701        22     56561.8        22    141404.5        0  -17406.6     27583962     27122970      460992
2025-01      24        54         1.43    1.21     822469      1857709     13       54        2.04   1.75   1154339     4403280     11       55        0.58   0.48   -331870    -2545571        24     78219.6        24    195548.9        0   14466.2     61885170     61062701      822469
2025-02      22        59         4.74    3.28    8290051     10147760     10       70        6.73   2.88   4649707     9052988     12       50        3.60   3.60   3640344     1094772        22    253523.7        22    633809.3        0    6837.2    619516774    611226723     8290051
2025-03      25        56         2.01    1.58   21533361     31681121     14       50        1.70   1.70   5507845    14560833     11       64        2.20   1.26  16025516    17120288        25   1038764.3        25   2596910.6        0  -27598.3   2034366007   2012832646    21533361
2025-04      28        46         1.16    1.34    9404628     41085749     12       75        3.69   1.23  35799804    50360637     16       25        0.40   1.21 -26395176    -9274887        28   2957920.9        28   7394802.3        0   76667.1   1703766481   1694361853     9404628
2025-05      26        35         0.51    0.96  -19261669     21824080     15       33        0.58   1.17  -9720356    40640280     11       36        0.40   0.70  -9541313   -18816200        26   1951561.1        26   4878902.8        0  129020.7  -1534038396  -1514776727   -19261669
2025-06      29        52         1.02    0.95     332245     22156325     13       62        1.46   0.91   3294612    43934892     16       44        0.77   0.99  -2962366   -21778566        29   1682017.9        29   4205044.7        0  -26771.0    795406231    795073986      332245
2025-07      28        54         1.39    1.20    8449234     30605560     15       47        0.62   0.70  -4313855    39621037     13       62        2.22   1.38  12763089    -9015477        28   1579540.6        28   3948851.4        0  -80409.9   2648543623   2640094388     8449234
2025-08      26        62         1.48    0.92   16527359     47132918     11       55        0.38   0.32 -13721265    25899771     15       67        3.42   1.71  30248624    21233147        26   2848802.7        26   7122006.8        0  -91166.2   5576785216   5560257858    16527359
2025-09      29        41         0.83    1.17   -6518711     40614207      8       50        1.96   1.96   5577918    31477689     21       38        0.62   1.01 -12096628     9136519        29   3128464.4        29   7821161.0        0 -370192.3    854563261    861081972    -6518711
2025-10      28        43         0.77    1.02  -11203687     29410521     13       38        0.42   0.68 -17048885    14428804     15       47        1.32   1.51   5845198    14981716        28   2502748.8        28   6256872.0      108  -94186.5  -1267689813  -1256486126   -11203687
2025-11      22        64         2.97    1.70   98660019    128070540     11       55        2.12   1.77  23889563    38318367     11       73        3.61   1.35  74770456    89752172        22   4227238.7        22  10568096.7        0 -158469.7  47531971743  47433311724    98660019
2025-12      28        39         0.59    0.91  -65897849     62172691     10       50        0.93   0.93  -4073599    34244768     18       33        0.40   0.81 -61824250    27927923        28   7000646.3        28  17501615.7        0 -347836.0 -23451407878 -23385510029   -65897849
