[Back2TV·REVoi R+P(70%) 현실] 260626_02_REVoi_RP70_Real_Back2TV
[세팅] REV_TF=240 눌림목=20 N=3 피보=(0.22,0.49,0.80) ATR×0.60
       청산향상 = 레짐적응스텝 R×1.4 + 구조 부분익절 P 70% (저변동·극단쏠림 봉만 타이트, 고변동 불간섭 §20)
[사이징] 레버=3배 · 증거금=75% · 노출=2.25 (격리마진·유지증거금·강제청산 캡틴캡모델)
[★수익률 §19] 36개월 복리 +2592% ($269,213, 시작$10k) · MDD -14% · 강제청산 0회
[성적] 거래935·승률62%·PF1.62·손익비 (Pine 임베드 400/전체 935)
[비용] 측정 청산슬립~0bp(§24)+스프1bp 적용 = 현실. 순손익$+259,213
[★MDD 4단 게이트(§26)·Stg4] M0 무제한 L15/100%+3.1억% / M30 L6/80%+48910% / M25 L4/100%+19162% / M20(실거래자격) L3/100%+5579%(MDD-19%)·전구간 강제청산0
[경계 §20] 36개월 최고세팅=과적합 상한·참고. 채택=held-out·CPCV 표준6·M20 인증 별도통과 必.

[월별 통합표]
     년월  총합_거래수  총합_승률(%)  총합_수익팩터(PF)  총합_손익비  총합_수익금($)  총합_누적수익금($)  롱_거래수  롱_승률(%)  롱_수익팩터(PF)  롱_손익비  롱_수익금($)  롱_누적수익금($)  숏_거래수  숏_승률(%)  숏_수익팩터(PF)  숏_손익비  숏_수익금($)  숏_누적수익금($)  지정가_체결횟수  지정가_수수료($)  시장가_체결횟수  시장가_수수료($)  슬리피지($)  펀딩비($)  손익금_무비용($)  총비용($)  순손익금_현실($)
2023-05      23        57         1.11    0.85        100          100     10       60        0.73   0.48      -141        -141     13       54        1.57   1.34       241         241        23       105.7        23       264.3        0   -11.6        -835    -935         100
2023-06      26        69         1.73    0.77        726          827     11       73        4.92   1.85       591         451     15       67        1.16   0.58       135         376        26       121.8        26       304.5        0    -9.2         625    -101         726
2023-07      22        86         7.49    1.18       1847         2674      7      100         inf    NaN       433         884     15       80        5.97   1.49      1414        1790        22       118.6        22       296.5        0    -7.7        1696    -151        1847
2023-08      24        46         1.53    1.81        337         3010     11       45        2.09   2.51       253        1136     13       46        1.21   1.41        84        1874        24       136.7        24       341.7        0     1.1         314     -23         337
2023-09      24        75         3.06    1.02        991         4002     12       83        8.26   1.65       757        1893     12       67        1.62   0.81       235        2109        24       143.6        24       359.0        0    -2.5         888    -103         991
2023-10      30        70         1.15    0.49        266         4268     12       92       61.99   5.64      1024        2917     18       56        0.57   0.45      -758        1351        30       186.2        30       465.4        0    10.5         153    -113         266
2023-11      26        62         1.96    1.23       1714         5981     17       59        1.89   1.33      1301        4218      9       67        2.28   1.14       413        1764        26       176.2        26       440.6        0    58.6        3313    1599        1714
2023-12      28        61         0.86    0.56       -356         5626     11       73        0.77   0.29      -269        3949     17       53        0.94   0.83       -87        1677        28       195.6        28       489.0        0   -33.3       -1395   -1040        -356
2024-01      21        76         2.57    0.80       2971         8597      9       56        1.96   1.57      1261        5210     12       92        4.00   0.36      1710        3387        21       163.9        21       409.7        0   -16.5        3512     541        2971
2024-02      23        57         3.62    2.79       5439        14036      7       71        7.17   2.87      4429        9639     16       50        1.75   1.75      1010        4397        23       207.3        23       518.3        0   -37.2        5480      41        5439
2024-03      29        59         1.68    1.18       4445        18481     18       61        1.70   1.08      3108       12747     11       55        1.63   1.36      1337        5733        29       334.8        29       837.0        0   171.7        6911    2466        4445
2024-04      23        87         6.59    0.99      10126        28607      9       78        2.07   0.59      1701       14448     14       93       39.22   3.02      8425       14159        23       341.9        23       854.9        0   -97.3       14935    4809       10126
2024-05      27        67         1.66    0.83       4920        33527     11       64        2.10   1.20      3083       17531     16       69        1.40   0.64      1837       15996        27       485.3        27      1213.3        0   -97.8       10955    6035        4920
2024-06      26        62         1.15    0.72        738        34265      9       67        1.31   0.66       383       17914     17       59        1.10   0.77       355       16351        26       518.0        26      1295.1        0  -126.7        4065    3327         738
2024-07      31        55         1.33    1.09       2404        36669     16       31        0.55   1.20     -2453       15461     15       80        3.49   0.87      4857       21208        31       614.4        31      1536.0        0   -41.1        1882    -522        2404
2024-08      27        52         1.89    1.75      12127        48797     12       50        2.18   2.18      6894       22355     15       53        1.67   1.46      5234       26442        27       708.2        27      1770.5        0    30.8       26918   14791       12127
2024-09      28        54         1.30    1.12       2675        51472     14       57        1.85   1.39      3050       25405     14       50        0.93   0.93      -375       26067        28       764.0        28      1909.9        0   -79.6        9720    7044        2675
2024-10      30        67         1.61    0.81       4126        55598     17       71        2.06   0.86      4563       29968     13       62        0.82   0.51      -437       25630        30       842.8        30      2107.0        0   124.5       10265    6139        4126
2024-11      28        54         0.85    0.73      -2872        52726      7       71        5.61   2.24      5503       35470     21       48        0.52   0.57     -8374       17256        28       813.7        28      2034.3        0  -170.9      -16934  -14063       -2872
2024-12      22        73         2.52    0.95       8951        61678     11       64        1.10   0.63       432       35903     11       82        6.16   1.37      8519       25775        22       673.7        22      1684.2        0  -197.8       15740    6788        8951
2025-01      25        56         1.38    1.09       5080        66757     13       62        1.86   1.16      6257       42160     12       50        0.80   0.80     -1177       24597        25       820.9        25      2052.2        0   106.5       24475   19395        5080
2025-02      22        73         5.66    2.12      25670        92428     10       90       41.81   4.65     18706       60866     12       58        2.38   1.70      6965       31562        22       916.9        22      2292.1        0    37.1       62198   36527       25670
2025-03      26        65         2.39    1.27      21777       114204     15       67        5.48   2.74     15286       76152     11       64        1.53   0.87      6490       38053        26      1337.3        26      3343.1        0     7.4       67100   45324       21777
2025-04      29        59         1.24    0.88       5584       119788     13       77        5.59   1.68     18214       94366     16       44        0.35   0.45    -12630       25422        29      1716.7        29      4291.8        0    87.0       27328   21744        5584
2025-05      26        50         0.66    0.66      -7337       112452     15       40        0.50   0.75     -7180       87186     11       64        0.98   0.56      -156       25266        26      1475.3        26      3688.1        0    97.1      -18747  -11411       -7337
2025-06      29        62         1.72    1.05       6672       119124     13       62        1.37   0.86      2166       89351     16       62        2.31   1.39      4507       29773        29      1654.2        29      4135.5        0   -27.7       15189    8517        6672
2025-07      27        52         1.09    1.01       1418       120542     14       50        1.29   1.29      1653       91004     13       54        0.98   0.84      -235       29538        27      1570.1        27      3925.2        0   -50.5        9601    8184        1418
2025-08      26        77         2.25    0.67      14120       134662     12       58        0.78   0.56     -2139       88865     14       93       10.65   0.82     16259       45797        26      1627.3        26      4068.3        0  -110.5       46716   32596       14120
2025-09      30        60         1.41    0.94       4204       138866      9       56        1.50   1.20      1837       90702     21       62        1.36   0.84      2366       48163        30      1970.4        30      4926.1        0  -173.0        1842   -2362        4204
2025-10      28        61         1.55    1.00       9410       148276     13       62        1.39   0.87      3905       94608     15       60        1.76   1.18      5505       53668        28      1911.6        28      4779.1        0   -73.4         415   -8995        9410
2025-11      23        87         8.44    1.27      52898       201174     12       92      261.27  23.75     19655      114263     11       82        5.72   1.27     33243       86911        23      1851.6        23      4628.9        0   -98.8      191588  138690       52898
2025-12      26        42         0.65    0.88     -12946       188227      8       62        2.31   1.39      6013      120276     18       33        0.41   0.82    -18959       67952        26      2381.2        26      5953.0        0  -225.1      -28324  -15378      -12946
2026-01      21        43         0.99    1.32       -233       187994     11       45        1.76   2.11      5335      125611     10       40        0.52   0.78     -5569       62383        21      1812.6        21      4531.4        0   149.8      -48233  -48000        -233
2026-02      19        68         2.92    1.35      50046       238040     11       73        2.98   1.12     30919      156530      8       62        2.82   1.69     19126       81509        19      2080.0        19      5200.1        0  -155.9      177848  127802       50046
2026-03      29        66         1.34    0.71      16128       254168     15       67        1.35   0.68      8546      165076     14       64        1.33   0.74      7583       89092        29      3362.0        29      8404.9        0  -103.5       81118   64989       16128
2026-04      31        55         1.13    0.93       5045       259213     15       40        0.61   0.92    -10205      154871     16       69        2.13   0.97     15250      104342        31      3874.9        31      9687.3        0   128.3        8610    3565        5045
