[Back2TV·REVoi R+P(70%) M20이빠이] 260626_03_REVoi_RP70_M20Max_Back2TV
[세팅] REV_TF=240 눌림목=20 N=3 피보=(0.22,0.49,0.80) ATR×0.60
       청산 = R+P(70%): 레짐적응스텝×1.4(불리봉 31%·고변동불간섭) + 구조 부분익절 70%
[사이징] M20 이빠이 = 레버6x·증거금55%·노출3.3 (격리마진·강제청산 0회)
[★수익률 §19] 36개월 복리(현실비용) +11109% ($1,120,932, 시작$10k) · MDD -19.8% · 강제청산 0회
[성적] 거래935·승률62%·PF1.57 (Pine 임베드 400/전체 935)
[★§26 4단게이트(슬립0 상한)] M0 L16/100% +2376409003%(MDD-72·청산0) / M30 L8/65% +124842%(MDD-30·청산0) / M25 L5/85% +38345%(MDD-25·청산0) / M20 L6/55% +11109%(MDD-20·청산0)
[비용] 측정청산슬립~0bp(§24)+스프1bp=현실. 순손익$+1,110,932
[경계 §20] 36개월 최고세팅=과적합 상한·참고. 채택=held-out·CPCV표준6·M20인증 별도통과 必.

[월별 통합표]
     년월  총합_거래수  총합_승률(%)  총합_수익팩터(PF)  총합_손익비  총합_수익금($)  총합_누적수익금($)  롱_거래수  롱_승률(%)  롱_수익팩터(PF)  롱_손익비  롱_수익금($)  롱_누적수익금($)  숏_거래수  숏_승률(%)  숏_수익팩터(PF)  숏_손익비  숏_수익금($)  숏_누적수익금($)  지정가_체결횟수  지정가_수수료($)  시장가_체결횟수  시장가_수수료($)  슬리피지($)  펀딩비($)  손익금_무비용($)  총비용($)  순손익금_현실($)
2023-05      23        57         1.10    0.85        139          139     10       60        0.72   0.48      -213        -213     13       54        1.56   1.34       352         352        23       156.6        23       391.4        0   -17.3       -1212   -1351         139
2023-06      26        69         1.72    0.76       1071         1211     11       73        4.94   1.85       884         670     15       67        1.15   0.57       188         540        26       181.8        26       454.5        0   -13.6         870    -202        1071
2023-07      22        86         7.25    1.14       2893         4104      7      100         inf    NaN       681        1352     15       80        5.78   1.44      2211        2752        22       188.9        22       472.2        0   -11.8        2518    -375        2893
2023-08      24        46         1.52    1.80        547         4651     11       45        2.09   2.51       412        1764     13       46        1.20   1.40       135        2886        24       222.9        24       557.2        0     1.6         481     -67         547
2023-09      24        75         3.07    1.02       1657         6307     12       83        8.27   1.65      1261        3025     12       67        1.63   0.82       396        3282        24       239.5        24       598.8        0    -4.3        1396    -260        1657
2023-10      30        70         1.14    0.49        433         6741     12       92       61.68   5.61      1737        4762     18       56        0.56   0.45     -1304        1978        30       315.6        30       788.9        0    17.9         213    -221         433
2023-11      26        62         1.95    1.22       2980         9720     17       59        1.88   1.31      2254        7016      9       67        2.24   1.12       726        2704        26       311.0        26       777.5        0   101.0        5527    2548        2980
2023-12      28        61         0.85    0.55       -673         9047     11       73        0.77   0.29      -490        6526     17       53        0.93   0.82      -184        2520        28       348.9        28       872.3        0   -58.5       -2491   -1817        -673
2024-01      21        76         2.53    0.79       5442        14488      9       56        1.90   1.52      2236        8762     12       92        4.00   0.36      3206        5726        21       306.9        21       767.3        0   -35.0        6093     651        5442
2024-02      23        57         3.60    2.77      10863        25352      7       71        7.18   2.87      8926       17689     16       50        1.71   1.71      1937        7663        23       414.4        23      1035.9        0   -78.5       10575    -288       10863
2024-03      29        59         1.66    1.17       9623        34974     18       61        1.67   1.06      6646       24334     11       55        1.64   1.37      2977       10640        29       742.1        29      1855.3        0   381.8       14787    5164        9623
2024-04      23        87         6.54    0.98      25029        60004      9       78        2.07   0.59      4222       28556     14       93       37.40   2.88     20808       31448        23       849.8        23      2124.5        0  -234.0       37554   12525       25029
2024-05      27        67         1.65    0.83      13002        73006     11       64        2.08   1.19      8140       36696     16       69        1.39   0.63      4862       36309        27      1308.7        27      3271.8        0  -264.9       30559   17557       13002
2024-06      26        62         1.14    0.71       1970        74976      9       67        1.30   0.65      1041       37737     17       59        1.09   0.76       929       37238        26      1459.7        26      3649.3        0  -356.8       12032   10062        1970
2024-07      31        55         1.32    1.09       6599        81575     16       31        0.54   1.19     -6993       30745     15       80        3.47   0.87     13592       50830        31      1724.1        31      4310.3        0  -115.0        4930   -1669        6599
2024-08      27        52         1.80    1.67      35616       117191     12       50        2.07   2.07     19971       50716     15       53        1.61   1.41     15645       66475        27      2251.2        27      5628.1        0    89.7       87929   52313       35616
2024-09      28        54         1.28    1.11       8316       125506     14       57        1.84   1.38      9656       60372     14       50        0.92   0.92     -1340       65135        28      2456.2        28      6140.6        0  -255.9       35003   26687        8316
2024-10      30        67         1.60    0.80      13303       138809     17       71        2.05   0.85     14722       75093     13       62        0.82   0.51     -1419       63716        30      2742.6        30      6856.6        0   402.5       38086   24783       13303
2024-11      28        54         0.84    0.72     -10223       128586      7       71        5.74   2.30     18203       93297     21       48        0.51   0.56    -28426       35289        28      2680.7        28      6701.6        0  -573.6      -65743  -55520      -10223
2024-12      22        73         2.48    0.93      29563       158150     11       64        1.08   0.62      1165       94462     11       82        6.08   1.35     28399       63688        22      2265.2        22      5663.1        0  -663.0       58010   28447       29563
2025-01      25        56         1.37    1.08      17018       175167     13       62        1.84   1.15     21211      115673     12       50        0.80   0.80     -4193       59495        25      2842.8        25      7107.1        0   368.8       95483   78465       17018
2025-02      22        73         5.48    2.05      95355       270522     10       90       43.51   4.83     68937      184610     12       58        2.34   1.67     26418       85912        22      3523.9        22      8809.8        0   128.9      282034  186680       95355
2025-03      26        65         2.36    1.25      89850       360372     15       67        5.28   2.64     63565      248175     11       64        1.51   0.86     26285      112197        26      5644.6        26     14111.5        0    36.9      342394  252545       89850
2025-04      29        59         1.22    0.86      23643       384015     13       77        5.60   1.68     81370      329545     16       44        0.34   0.44    -57727       54470        29      7703.5        29     19258.9        0   386.8      151002  127359       23643
2025-05      26        50         0.66    0.66     -32789       351226     15       40        0.49   0.74    -31733      297811     11       64        0.97   0.55     -1056       53414        26      6477.9        26     16194.7        0   423.8     -110801  -78012      -32789
2025-06      29        62         1.70    1.04      28958       380183     13       62        1.36   0.85      9305      307117     16       62        2.29   1.37     19652       73067        29      7271.7        29     18179.3        0  -121.8       85649   56691       28958
2025-07      27        52         1.08    1.00       5754       385937     14       50        1.28   1.28      7088      314205     13       54        0.97   0.83     -1334       71732        27      6956.4        27     17391.0        0  -222.2       53963   48209        5754
2025-08      26        77         2.22    0.67      63679       449616     12       58        0.76   0.54    -10600      303605     14       93       10.72   0.82     74279      146011        26      7455.8        26     18639.6        0  -493.6      279984  216305       63679
