[Back2TV·REVoi R+P70 + 레짐오버레이(M5게이트+M4b DD컷)] 260626_04_REVoi_RP70_RegimeOverlay_Back2TV
[게이트] 지속하락(30d<-10)서 롱·지속상승(>12)서 숏 차단 → 거래 758/983(차단 225).
[DD컷] 자기자본 DD<=-8%면 수량×0.5(동적사이징=차트마커 불변·equity만 영향).
[★결합 성적] 전기간 +1519% · MDD -16.4% · 최근2달 -1.3%(2달MDD -7.2%) · CPCV p25 +97%·음수폴드 0%·MDD20위반 0%
[대비 M0] 전기간 +7166%·MDD -29.6%·최근2달 -15.2% (결합이 MDD·최근 개선)
[경계 §20] full=과적합 상한. 게이트는 경제원리·DD컷은 손익반응(과적합 적음)이나 임계 OOS 추가검증 권장. Pine 임베드 400/758.

[월별 통합표 — 게이트통과·exp3.3 기준(M4b 동적사이징 별도)]
     년월  총합_거래수  총합_승률(%)  총합_수익팩터(PF)  총합_손익비  총합_수익금($)  총합_누적수익금($)  롱_거래수  롱_승률(%)  롱_수익팩터(PF)  롱_손익비  롱_수익금($)  롱_누적수익금($)  숏_거래수  숏_승률(%)  숏_수익팩터(PF)  숏_손익비  숏_수익금($)  숏_누적수익금($)  지정가_체결횟수  지정가_수수료($)  시장가_체결횟수  시장가_수수료($)  슬리피지($)  펀딩비($)  손익금_무비용($)  총비용($)  순손익금_현실($)
2023-05      20        55         0.92    0.76       -104         -104      7       57        0.36   0.27      -465        -465     13       54        1.58   1.35       361         361        20       135.3        20       338.2        0   -25.0        -790    -686        -104
2023-06      21        76         1.95    0.61        884          780     10       80        3.51   0.88       762         296     11       73        1.20   0.45       123         484        21       144.3        21       360.7        0     2.0         704    -181         884
2023-07      10        80         3.10    0.77        505         1285      7      100         inf    NaN       664         960      3       33        0.34   0.68      -158         325        10        73.7        10       184.4        0    33.3         986     481         505
2023-08      20        60         1.21    0.81        164         1449      7       57        0.99   0.74        -3         957     13       62        1.31   0.82       167         492        20       148.3        20       370.8        0     2.1         141     -23         164
2023-09      18        72         2.48    0.95        650         2100      5       80       85.82  21.45       222        1180     13       69        1.98   0.88       428         920        18       136.9        18       342.2        0    -1.0        -231    -882         650
2023-10      24        71         1.14    0.47        241         2341     11       91       12.83   1.28      1256        2436     13       54        0.38   0.32     -1015         -94        24       186.4        24       466.0        0    32.2         710     468         241
2023-11      20        65         2.15    1.16       2248         4590     16       62        2.21   1.33      1926        4362      4       75        1.89   0.63       322         228        20       174.6        20       436.4        0    88.1        5207    2959        2248
2023-12      12        75         0.83    0.28       -273         4316     11       73        0.75   0.28      -404        3957      1      100         inf    NaN       131         359        12       113.6        12       284.1        0    95.1        -749    -476        -273
2024-01      18        67         1.51    0.76       1241         5557      7       43        0.76   1.01      -400        3558     11       82        3.10   0.69      1641        1999        18       174.8        18       436.9        0   -65.3         -65   -1306        1241
2024-02      14        71         5.47    2.19       5681        11238      7       71        7.03   2.81      5415        8973      7       71        1.71   0.69       266        2265        14       153.8        14       384.4        0   157.7        7183    1503        5681
2024-03      18        61         1.70    1.08       4046        15284     18       61        1.70   1.08      4046       13019      0        0         inf    NaN         0        2265        18       269.4        18       673.4        0   501.1        8149    4102        4046
2024-04      20        85         5.30    0.93      10272        25556      7       71        1.03   0.41        68       13087     13       92       35.23   2.94     10204       12469        20       392.3        20       980.7        0  -134.8       17604    7332       10272
2024-05      24        71         1.88    0.78       6734        32291      8       75        3.44   1.15      3861       16949     16       69        1.48   0.67      2873       15342        24       587.2        24      1468.1        0  -144.6       19112   12377        6734
2024-06      20        70         1.11    0.48        610        32901      6       83        4.83   0.97      1471       18420     14       64        0.83   0.46      -860       14482        20       563.1        20      1407.8        0  -101.6        2639    2028         610
2024-07      25        60         1.70    1.13       4721        37623     11       36        0.80   1.40      -756       17664     14       79        2.84   0.77      5477       19959        25       743.7        25      1859.3        0   -95.2        -562   -5283        4721
2024-08      25        52         1.78    1.65      17210        54833     10       50        2.00   2.00      8878       26542     15       53        1.63   1.43      8331       28290        25      1065.1        25      2662.7        0    65.6       47196   29986       17210
2024-09      27        59         1.39    0.95       5582        60415     14       64        1.99   1.10      5602       32144     13       54        1.00   0.86       -20       28271        27      1213.3        27      3033.2        0   -96.6       22340   16758        5582
2024-10      25        68         1.88    0.89       8310        68724     17       71        2.07   0.86      7916       40060      8       62        1.20   0.72       393       28664        25      1204.8        25      3011.9        0   343.6       31618   23308        8310
2024-11       9        56         1.88    1.50       5789        74513      7       71        4.24   1.70      9453       49513      2        0        0.00    NaN     -3664       25000         9       491.6         9      1229.1        0   443.6        4013   -1776        5789
2024-12      16        69         1.91    0.87       7598        82111     11       64        1.12   0.64       950       50463      5       80       16.52   4.13      6648       31648        16       924.2        16      2310.5        0   213.3       10858    3260        7598
2025-01      23        61         1.41    0.91      10058        92169     13       62        1.85   1.15     11687       62150     10       60        0.85   0.57     -1628       30020        23      1435.5        23      3588.8        0   291.3       70114   60055       10058
2025-02      19        63         4.75    2.77      42528       134697      7       86       32.11   5.35     27841       89991     12       50        2.40   2.40     14687       44706        19      1654.1        19      4135.3        0   -30.2      142935  100407       42528
2025-03      13        69         1.75    0.78      18553       153250      2      100         inf    NaN      5115       95106     11       64        1.54   0.88     13438       58144        13      1311.4        13      3278.5        0  -183.4      200088  181535       18553
2025-04      25        60         1.21    0.81       7720       160971     11       73        3.48   1.30     19258      114364     14       50        0.59   0.59    -11538       46606        25      2817.3        25      7043.4        0    47.1       84128   76408        7720
2025-05      15        40         0.49    0.74     -13611       147359     15       40        0.49   0.74    -13611      100753      0        0         inf    NaN         0       46606        15      1592.5        15      3981.3        0   398.8      -26755  -13143      -13611
2025-06      29        62         1.74    1.06      13160       160519     13       62        1.51   0.95      5259      106012     16       62        2.05   1.23      7901       54507        29      3164.4        29      7911.1        0   -53.5       51233   38073       13160
2025-07      23        61         1.16    0.75       3908       164427     15       60        1.55   1.03      5877      111889      8       62        0.86   0.51     -1968       52539        23      2578.4        23      6445.9        0    75.1       43238   39330        3908
2025-08      26        77         2.29    0.69      29059       193486     11       64        0.78   0.45     -3423      108466     15       87        5.74   0.88     32482       85020        26      3307.4        26      8268.5        0  -230.5      154873  125814       29059
