[백테명] 260624_05_HeldOut_4h5m
[config] sig_tf=420 pivot_tf=60 N=5 fib1=0.17175359328868386 fib2=0.5610560749632999 fib3=0.7625320719320405 init_atr_mult=2.543792451655748 er_gate=0.1806372841843695 size_pct=2.697875068654253 lev=12.305545918984766
[조건] 4h/눌림목·현실비용(maker2/taker4/스프1bp)·실펀딩·1m체결·격리마진 강제청산
[총괄] 거래 163·승률52%·PF1.30·복리+16.0%($11,598)·MDD-10.5%·Calmar1.5·강제청산0회
[비용] 순손익$+1,598 = 손익금(무비용)$+2,128 − 총비용$530
[정직] 손익금=이론스톱체결·무비용(달성불가 상한). 순손익=1m실체결+수수료+펀딩(현실). 단일전략 held-out 한계 별도.

[월별 통합표]
     년월  총합_거래수  총합_승률(%)  총합_수익팩터(PF)  총합_손익비  총합_수익금($)  총합_누적수익금($)  롱_거래수  롱_승률(%)  롱_수익팩터(PF)  롱_손익비  롱_수익금($)  롱_누적수익금($)  숏_거래수  숏_승률(%)  숏_수익팩터(PF)  숏_손익비  숏_수익금($)  숏_누적수익금($)  지정가_체결횟수  지정가_수수료($)  시장가_체결횟수  시장가_수수료($)  슬리피지($)  펀딩비($)  손익금_무비용($)  총비용($)  순손익금_현실($)
2023-05       6        50         1.09    1.09         13           13      1        0        0.00    NaN      -100        -100      5       60        3.07   2.05       113         113         6         4.0         6        10.0        0    -2.9          22       9          13
2023-06       4        25         0.18    0.53       -129         -116      2       50        2.05   2.05        14         -85      2        0        0.00    NaN      -143         -30         5         3.3         3         4.9        0     4.0        -117      12        -129
2023-07       3        67         1.34    0.67         11         -105      2      100         inf    NaN        44         -41      1        0        0.00    NaN       -33         -63         3         2.0         3         4.9        0     1.3          18       7          11
2023-08       5        60        14.23    9.49        418          314      0        0         inf    NaN         0         -41      5       60       14.23   9.49       418         355         5         3.3         5         8.3        0    -5.8         424       6         418
2023-09       7        43         1.07    1.43          9          323      4       25        0.78   2.34       -20         -62      3       67        1.76   0.88        30         385         8         5.5         6        10.3        0     0.3          24      15           9
2023-10       5        40         8.35   12.52        158          481      4       50        9.04   9.04       160          98      1        0        0.00    NaN        -2         383         6         4.1         4         6.9        0     2.6         172      14         158
2023-11       3        33         0.23    0.47       -111          370      3       33        0.23   0.47      -111         -13      0        0         inf    NaN         0         383         3         2.1         3         5.2        0     6.6         -98      12        -111
2023-12       8        50         0.72    0.72        -62          308      8       50        0.72   0.72       -62         -74      0        0         inf    NaN         0         383         8         5.5         8        13.7        0    31.8         -14      48         -62
2024-01       5        20         0.30    1.20        -70          238      1      100         inf    NaN        30         -44      4        0        0.00    NaN      -100         283         6         4.1         4         6.9        0    -3.7         -64       6         -70
2024-02       2       100          inf     NaN        447          685      2      100         inf    NaN       447         402      0        0         inf    NaN         0         283         2         1.4         2         3.4        0    18.7         475      29         447
2024-03       7        71        18.43    7.37        755         1440      7       71       18.43   7.37       755        1157      0        0         inf    NaN         0         283         7         5.1         7        12.8        0    63.0         848      93         755
2024-04       8        75         1.97    0.66        255         1695      3       67        0.54   0.27       -65        1092      5       80        3.61   0.90       320         603         9         6.8         7        13.2        0    -0.4         280      24         255
2024-05       4        50         1.53    1.53         78         1774      2       50        1.52   1.52        62        1154      2       50        1.56   1.56        17         619         4         3.1         4         7.8        0    -0.4          89      11          78
2024-06       5        80         1.12    0.28         16         1790      1        0        0.00    NaN      -135        1019      4      100         inf    NaN       151         770         5         3.9         5         9.7        0    -5.0          23       7          16
2024-07       5        60         0.81    0.54        -55         1734      3       67        1.42   0.71        52        1072      2       50        0.38   0.38      -108         663         6         4.7         4         7.8        0     0.7         -44      11         -55
2024-08       5        80         0.80    0.20        -62         1673      0        0         inf    NaN         0        1072      5       80        0.80   0.20       -62         601         5         3.9         5         9.6        0     0.7         -51      11         -62
2024-09       5        60         2.76    1.84        253         1925      4       75        9.81   3.27       356        1427      1        0        0.00    NaN      -103         498         6         4.7         4         7.8        0     4.7         277      24         253
2024-10       5       100          inf     NaN        363         2288      3      100         inf    NaN       320        1747      2      100         inf    NaN        43         541         5         4.0         5         9.9        0     8.1         394      31         363
2024-11       6        50         4.83    4.83        429         2717      6       50        4.83   4.83       429        2176      0        0         inf    NaN         0         541         6         5.0         6        12.5        0    14.4         472      43         429
2024-12       3         0         0.00     NaN       -246         2471      3        0        0.00    NaN      -246        1930      0        0         inf    NaN         0         541         4         3.3         2         4.2        0     3.8        -242       4        -246
2025-01       6         0         0.00     NaN       -454         2017      2        0        0.00    NaN      -106        1825      4        0        0.00    NaN      -349         192         8         6.6         4         8.2        0    -0.7        -455      -1        -454
2025-02       2         0         0.00     NaN        -80         1937      0        0         inf    NaN         0        1825      2        0        0.00    NaN       -80         112         2         1.6         2         4.0        0    -1.3         -79       1         -80
2025-03       6        50         1.75    1.75         85         2022      3       33        1.28   2.57        21        1846      3       67        2.60   1.30        64         177         6         4.8         6        11.9        0     0.3         103      18          85
2025-04       4       100          inf     NaN        103         2126      2      100         inf    NaN        52        1897      2      100         inf    NaN        52         229         4         3.2         4         8.0        0    -2.3         115      11         103
2025-05       4        50         0.81    0.81        -17         2109      4       50        0.81   0.81       -17        1880      0        0         inf    NaN         0         229         4         3.2         4         8.0        0     3.3          -4      13         -17
