[Back2TV·REV단독] 260624_13_REVoi_MDD25_36mo_v6
[세팅] REV_TF=240 눌림목=20 N=3 피보=(0.22,0.49,0.80) ATR×0.60 | REV분위0.32/롤링26 arm3
[사이징] 레버=3배 · 증거금=75% · 노출=2.2 (격리마진·유지증거금·강제청산)
[성적] 거래932·승률50%·PF1.36·복리+1852%($195,165)·MDD-25%·강제청산0회·단일최고월 +44%
[비용] 순손익$+185,165 = 손익금(무비용)$+663,824 − 총비용$478,659

[월별 통합표]
     년월  총합_거래수  총합_승률(%)  총합_수익팩터(PF)  총합_손익비  총합_수익금($)  총합_누적수익금($)  롱_거래수  롱_승률(%)  롱_수익팩터(PF)  롱_손익비  롱_수익금($)  롱_누적수익금($)  숏_거래수  숏_승률(%)  숏_수익팩터(PF)  숏_손익비  숏_수익금($)  숏_누적수익금($)  지정가_체결횟수  지정가_수수료($)  시장가_체결횟수  시장가_수수료($)  슬리피지($)  펀딩비($)  손익금_무비용($)  총비용($)  순손익금_현실($)
2023-05      23        48         0.42    0.46      -1061        -1061     10       40        0.13   0.20      -883        -883     13       54        0.78   0.67      -178        -178        23        98.3        23       245.8        0   -10.7        -789     273       -1061
2023-06      26        46         1.22    1.43        287         -775     11       45        1.39   1.67       156        -727     15       47        1.15   1.31       130         -48        26       105.9        26       264.7        0   -10.0         623     336         287
2023-07      22        68         3.53    1.65       1339          564      7      100         inf    NaN       525        -202     15       53        2.54   2.22       814         766        22        97.8        22       244.4        0    -1.5        1763     424        1339
2023-08      24        38         1.00    1.66         -4          560     11       36        0.70   1.22      -150        -352     13       38        1.29   2.07       146         912        24       112.3        24       280.7        0     1.8         379     384          -4
2023-09      25        48         0.89    0.96       -106          454     12       58        2.65   1.89       379          27     13       38        0.33   0.53      -485         427        25       118.8        25       296.9        0     1.6         288     394        -106
2023-10      29        41         0.88    1.25       -240          213     11       73        6.95   2.60      1170        1197     18       22        0.24   0.83     -1410        -984        29       129.2        29       322.9        0     6.3         204     445        -240
2023-11      25        56         2.54    2.00       2693         2906     16       56        2.76   2.15      2585        3782      9       56        1.39   1.11       108        -875        25       128.8        25       322.0        0    36.3        3879    1186        2693
2023-12      28        43         0.48    0.64      -1379         1528     11       45        0.48   0.57      -647        3135     17       41        0.49   0.69      -732       -1607        28       153.7        28       384.3        0   -36.4       -1227     152       -1379
2024-01      20        50         1.18    1.18        425         1953      8       38        0.72   1.19      -430        2705     12       58        1.96   1.40       855        -752        20       102.9        20       257.2        0   -49.2         918     493         425
2024-02      23        52         2.80    2.57       3338         5291      7       71        8.24   3.29      3389        6094     16       44        0.96   1.24       -51        -803        23       134.2        23       335.4        0    -2.5        5104    1765        3338
