[Back2TV·REV단독] 260627_14_COMBO_M20_tp07e075_L4
[세팅] REV_TF=240 눌림목=20 N=3 피보=(0.22,0.49,0.80) ATR×0.60 | REV분위0.32/롤링26 arm3
[사이징] 레버=4.0배 · 증거금=75.0% · 노출=3.0 (격리마진·유지증거금·강제청산)
[성적] 거래932·승률71%·PF2.25·복리+98018%($9,811,790)·MDD-17%·강제청산0회·단일최고월 +44%
[비용] 순손익$+9,801,790 = 손익금(무비용)$+2,342,031 − 총비용$-7,459,759

[월별 통합표]
     년월  총합_거래수  총합_승률(%)  총합_수익팩터(PF)  총합_손익비  총합_수익금($)  총합_누적수익금($)  롱_거래수  롱_승률(%)  롱_수익팩터(PF)  롱_손익비  롱_수익금($)  롱_누적수익금($)  숏_거래수  숏_승률(%)  숏_수익팩터(PF)  숏_손익비  숏_수익금($)  숏_누적수익금($)  지정가_체결횟수  지정가_수수료($)  시장가_체결횟수  시장가_수수료($)  슬리피지($)  펀딩비($)  손익금_무비용($)   총비용($)  순손익금_현실($)
2023-05      23        65         2.15    1.15       1457         1457     10       70        1.36   0.58       275         275     13       62        3.29   2.06      1182        1182        23       152.6        23       381.5        0   -17.2       -1046    -2502        1457
2023-06      26        77         3.75    1.13       3599         5056     11       82        5.81   1.29      1698        1973     15       73        2.99   1.09      1901        3083        26       205.7        26       514.3        0   -20.7         801    -2798        3599
2023-07      22        82         9.81    2.18       4577         9633      7      100         inf    NaN      1891        3864     15       73        6.17   2.24      2686        5769        22       229.3        22       573.3        0    -3.7        2377    -2199        4577
2023-08      24        67         3.17    1.58       3066        12699     11       64        3.06   1.75      1133        4997     13       69        3.24   1.44      1933        7702        24       299.2        24       748.0        0     4.6         525    -2541        3066
2023-09      25        76         4.96    1.57       3982        16681     12       83       13.83   2.77      2374        7371     13       69        2.96   1.31      1608        9311        25       362.0        25       905.0        0     5.3         400    -3582        3982
2023-10      29        76         2.96    0.94       6521        23202     11       91       16.65   1.66      3935       11305     18       67        1.84   0.92      2587       11897        29       497.5        29      1243.6        0    25.5         268    -6253        6521
2023-11      25        72         2.03    0.79       4858        28061     16       62        1.55   0.93      2120       13425      9       89        4.20   0.53      2738       14635        25       524.4        25      1311.1        0   158.8        5681      823        4858
2023-12      28        68         1.66    0.79       5423        33484     11       73        1.33   0.50      1304       14729     17       65        1.97   1.07      4120       18755        28       658.4        28      1646.0        0  -152.0       -1900    -7324        5423
2024-01      20        85         4.50    0.79      12765        46249      8       75        1.82   0.61      2802       17531     12       92       47.00   4.27      9962       28717        20       601.6        20      1503.9        0  -270.8        1338   -11427       12765
2024-02      23        65         2.42    1.29      10759        57008      7       71        2.17   0.87      3456       20987     16       62        2.58   1.55      7303       36021        23       838.7        23      2096.7        0     0.8        8010    -2749       10759
2024-03      29        72         1.51    0.58      10768        67776     18       72        1.18   0.45      2941       23928     11       73        2.67   1.00      7827       43847        29      1239.4        29      3098.6        0   646.8        9298    -1471       10768
2024-04      23        91         6.69    0.64      33894       101670      9       78        2.28   0.65      7618       31547     14      100         inf    NaN     26276       70123        23      1281.0        23      3202.4        0  -388.9       24315    -9579       33894
2024-05      27        70         1.42    0.60      11597       113267     11       73        1.65   0.62      6712       38259     16       69        1.28   0.58      4885       75008        27      1824.1        27      4560.3        0  -329.3       20859     9262       11597
2024-06      26        69         2.27    1.01      25672       138939      9       89        6.47   0.81     19566       57826     17       59        1.37   0.96      6105       81113        26      2153.9        26      5384.7        0  -539.7        7077   -18594       25672
2024-07      31        71         2.70    1.10      45891       184830     16       56        1.81   1.41     13394       71220     15       87        4.10   0.63     32497      113610        31      3233.9        31      8084.8        0  -214.5        3760   -42131       45891
2024-08      27        70         2.05    0.86      48647       233477     12       67        1.95   0.97     19105       90325     15       73        2.13   0.78     29542      143152        27      3936.9        27      9842.3        0   178.5       54214     5568       48647
2024-09      28        64         1.78    0.99      37311       270788     14       79        2.77   0.75     29519      119844     14       50        1.25   1.25      7792      150944        28      4363.9        28     10909.7        0  -384.5       24994   -12317       37311
2024-10      30        70         2.17    0.93      47887       318675     17       76        2.47   0.76     38310      158154     13       62        1.64   1.03      9577      160522        30      5459.6        30     13649.1        0   904.6       25266   -22621       47887
2024-11      28        68         1.54    0.73      46373       365049      7       71        2.71   1.08     19228      177382     21       67        1.36   0.68     27145      187667        28      6005.5        28     15013.7        0 -1286.8      -42161   -88534       46373
2024-12      22        77         3.16    0.93      97833       462881     11       73        1.91   0.71     28712      206094     11       82        6.07   1.35     69121      256788        22      5651.5        22     14128.8        0 -1785.2       35205   -62627       97833
2025-01      24        75         2.78    0.93     113871       576752     13       69        1.95   0.87     39394      245487     11       82        4.29   0.95     74477      331265        24      7281.9        24     18204.7        0  1493.6       58143   -55727      113871
2025-02      22        68         3.91    1.82     147635       724387     10       90       24.75   2.75    110947      356434     12       50        1.80   1.80     36689      367954        22      8646.2        22     21615.6        0   311.9      163800    16165      147635
2025-03      25        80         2.63    0.66     194904       919292     14       93       28.82   2.22    187463      543897     11       64        1.07   0.61      7441      375395        25     11951.7        25     29879.2        0  -159.7      225118    30213      194904
2025-04      28        61         1.39    0.90      87439      1006731     12       83        5.79   1.16    175522      719419     16       44        0.53   0.68    -88083      287312        28     16852.6        28     42131.4        0   582.2      110086    22647       87439
2025-05      26        58         1.64    1.20     118589      1125320     15       47        1.05   1.20      6858      726277     11       73        3.06   1.15    111732      399043        26     16314.7        26     40786.6        0  1118.1      -55623  -174212      118589
2025-06      29        69         3.81    1.71     323465      1448785     13       69        2.98   1.32    130523      856800     16       69        4.92   2.24    192942      591986        29     22455.1        29     56137.8        0  -437.0       49138  -274328      323465
