[Back2TV·REV단독] 260627_16_COMBO_M20_tp07e100_L5
[세팅] REV_TF=240 눌림목=20 N=3 피보=(0.22,0.49,0.80) ATR×0.60 | REV분위0.32/롤링26 arm3
[사이징] 레버=5.0배 · 증거금=75.0% · 노출=3.8 (격리마진·유지증거금·강제청산)
[성적] 거래932·승률69%·PF2.28·복리+3229453%($322,955,319)·MDD-20%·강제청산0회·단일최고월 +68%
[비용] 순손익$+322,945,319 = 손익금(무비용)$+1,616,900,322 − 총비용$1,293,955,003

[월별 통합표]
     년월  총합_거래수  총합_승률(%)  총합_수익팩터(PF)  총합_손익비  총합_수익금($)  총합_누적수익금($)  롱_거래수  롱_승률(%)  롱_수익팩터(PF)  롱_손익비  롱_수익금($)  롱_누적수익금($)  숏_거래수  숏_승률(%)  숏_수익팩터(PF)  숏_손익비  숏_수익금($)  숏_누적수익금($)  지정가_체결횟수  지정가_수수료($)  시장가_체결횟수  시장가_수수료($)  슬리피지($)    펀딩비($)  손익금_무비용($)    총비용($)  순손익금_현실($)
2023-05      23        61         2.16    1.39       2061         2061     10       70        1.54   0.66       534         534     13       54        2.95   2.53      1528        1528        23       195.2        23       487.9        0     -22.2        2558       497        2061
2023-06      26        73         3.04    1.12       4999         7060     11       82        7.76   1.72      3254        3787     15       67        1.88   0.94      1745        3273        26       281.9        26       704.8        0     -27.9        6024      1025        4999
2023-07      22        82        10.34    2.30       7565        14625      7      100         inf    NaN      3321        7108     15       73        6.24   2.27      4244        7517        22       342.8        22       857.0        0      -4.2        9272      1707        7565
2023-08      24        62         3.11    1.87       4973        19598     11       64        2.68   1.53      1456        8565     13       62        3.37   2.10      3516       11033        24       477.6        24      1194.1        0       7.8        7143      2170        4973
2023-09      25        76         5.73    1.81       7931        27529     12       83       17.75   3.55      5139       13703     13       69        3.04   1.35      2793       13826        25       608.1        25      1520.2        0       9.3       11416      3485        7931
2023-10      29        76         3.66    1.16      16053        43583     11       91       20.83   2.08      9676       23379     18       67        2.15   1.08      6378       20204        29       907.1        29      2267.6        0      48.0       23424      7371       16053
2023-11      25        72         2.52    0.98      15181        58764     16       62        1.94   1.16      7550       30929      9       89        4.99   0.62      7632       27835        25      1108.4        25      2770.9        0     317.8       23908      8726       15181
2023-12      28        68         2.16    1.02      22728        81492     11       73        1.63   0.61      6004       36932     17       65        2.66   1.45     16724       44559        28      1582.5        28      3956.3        0    -356.0       37016     14289       22728
2024-01      20        80         3.41    0.85      36444       117936      8       75        2.42   0.81     13072       50004     12       83        4.92   0.98     23372       67932        20      1607.0        20      4017.5        0    -717.0       57362     20918       36444
2024-02      23        65         2.81    1.50      40364       158300      7       71        2.95   1.18     17092       67096     16       62        2.71   1.63     23272       91204        23      2469.2        23      6173.1        0      33.3       68604     28240       40364
