et,xt,side,entry,exit,ret,realized,reason,exit_tag,year,mfe,mae,giveback,edge_ratio,mfe_capture,near_miss_sl,t_to_mfe_min,hold_min,vr,vol,loss_streak,prev_ret
2023-05-02 00:00:00+00:00,2023-05-05 12:30:00+00:00,1,28054.5,28664.469999999998,0.020942322978488213,0.021742322978488212,stop,trailing,2023,0.05334260100875082,0.007146803543103602,0.03160027803026261,7.4638403990024935,0.4075977280320732,0,4441,5070,,,0,
2023-05-05 16:00:00+00:00,2023-05-10 12:45:00+00:00,-1,29347.5,28067.5,0.04281529942925291,0.043615299429252914,stop,trailing,2023,0.07147116449442031,0.016781667944458643,0.0278558650651674,4.258883248730965,0.6102502979737782,0,4571,7005,,,0,0.020942322978488213
2023-05-10 16:00:00+00:00,2023-05-10 17:57:00+00:00,-1,28141.2,27466.597999999998,0.023172040993276855,0.023972040993276853,stop,trailing,2023,0.0524000397992979,0.005287620996972385,0.028427998806021048,9.909946236559202,0.4574813508748146,0,81,117,,,0,0.04281529942925291
2023-05-11 00:00:00+00:00,2023-05-11 14:04:00+00:00,1,27583.0,27031.34,-0.020799999999999992,-0.019999999999999993,stop,initial_SL,2023,0.001703948083964761,0.021136207084073523,0.021703948083964756,0.08061749571183534,-11.737446808510635,1,750,844,,,0,0.023172040993276855
2023-05-12 08:00:00+00:00,2023-05-12 19:26:00+00:00,1,26294.0,25801.418,-0.019533627443523178,-0.01873362744352318,stop,trailing,2023,0.0116148170685328,0.02065109911006313,0.03034844451205598,0.562430939226522,-1.612907662082502,1,375,686,,,1,-0.020799999999999992
2023-05-13 00:00:00+00:00,2023-05-17 07:45:00+00:00,1,26785.2,26820.5,0.0005178919701924672,0.0013178919701924672,stop,trailing,2023,0.03228648656720873,0.00851963024356737,0.03096859459701626,3.789658194566155,0.04081868640147931,0,3918,6225,,,2,-0.019533627443523178
2023-05-19 00:00:00+00:00,2023-05-24 03:36:00+00:00,1,26809.4,26701.675,-0.004818180190530269,-0.004018180190530268,stop,trailing,2023,0.02678538124687604,0.011540728252031058,0.03080356143740631,2.3209437621202174,-0.15001392563710123,0,6087,7416,0.8158847762285832,0.010840476424894276,0,0.0005178919701924672
2023-05-25 00:00:00+00:00,2023-05-29 15:36:00+00:00,1,26313.9,27588.739999999998,0.04764739852321383,0.04844739852321383,stop,trailing,2023,0.0808736067249628,0.017629465795644183,0.03242620820174897,4.587411079974115,0.5990507964851263,0,5784,6696,0.801486034840085,0.009973245658463907,1,-0.004818180190530269
2023-05-31 00:00:00+00:00,2023-05-31 05:01:00+00:00,1,27680.0,27126.399999999998,-0.02080000000000008,-0.02000000000000008,stop,initial_SL,2023,0.0052384393063583815,0.0203757225433526,0.02523843930635846,0.2570921985815603,-3.817931034482774,1,86,301,1.1011212581427965,0.008711897511805329,0,0.04764739852321383
2023-05-31 16:00:00+00:00,2023-06-02 00:38:00+00:00,1,26900.0,26527.463,-0.014648959107806702,-0.013848959107806702,stop,trailing,2023,0.016650557620817897,0.015107806691449868,0.0304995167286246,1.1021161417322831,-0.8317414601473523,0,491,1958,1.0585645736769418,0.009205524960483895,1,-0.02080000000000008
2023-06-02 16:00:00+00:00,2023-06-06 14:03:00+00:00,-1,27081.3,26081.248,0.03612776934637553,0.03692776934637553,stop,trailing,2023,0.06497841684114133,0.013983819092879615,0.028050647494765803,4.646686031159223,0.5683082343581288,0,5534,5643,1.1703841906295478,0.008909524600970263,2,-0.014648959107806702
2023-06-07 08:00:00+00:00,2023-06-10 17:43:00+00:00,-1,26786.8,26115.65,0.02425525109382225,0.02505525109382225,stop,trailing,2023,0.05345170009108961,0.006764525811220479,0.028396448997267364,7.901766004414975,0.4687456348652034,0,4863,4903,1.0137076659116577,0.01238426223239816,0,0.03612776934637553
2023-06-11 00:00:00+00:00,2023-06-14 20:05:00+00:00,1,25826.6,25637.585,-0.008118617239590167,-0.0073186172395901675,stop,trailing,2023,0.02338286882516481,0.012645876731741636,0.030701486064754976,1.849050826699339,-0.3129905613512154,0,3632,5525,0.8625393296251942,0.012986690568079476,0,0.02425525109382225
2023-06-15 00:00:00+00:00,2023-06-21 17:11:00+00:00,1,25115.9,29897.34,0.1895750214007859,0.19037502140078588,stop,trailing,2023,0.2271907437121504,0.013493444391799675,0.03681572231136451,16.837120094423057,0.8379523667653914,0,9635,9671,0.6638059490794047,0.013006330592931997,1,-0.008118617239590167
2023-06-22 00:00:00+00:00,2023-06-23 15:05:00+00:00,-1,29988.5,30385.103,-0.014025169648365178,-0.013225169648365178,stop,trailing,2023,0.016286243059839653,0.016656384947563233,0.02951141270820483,0.9777777777777806,-0.8120454545454504,0,881,2345,1.4842417731921727,0.01382313752769279,0,0.1895750214007859
2023-06-23 16:00:00+00:00,2023-06-27 11:50:00+00:00,-1,31232.9,30786.803,0.013482919613612619,0.014282919613612619,stop,trailing,2023,0.04299312583845889,0.006646837149288044,0.028710206224846276,6.468208092485607,0.33221403038427216,0,4396,5510,1.3640420903928534,0.014604442892435966,1,-0.014025169648365178
2023-06-28 00:00:00+00:00,2023-06-29 10:35:00+00:00,-1,30683.2,30698.737999999998,-0.0013064008969076507,-0.0005064008969076506,stop,trailing,2023,0.02863456223601196,0.001580669552067581,0.029140963132919608,18.11546391752582,-0.017684953334847243,0,1170,2075,1.3435926343751816,0.014010189052955231,0,0.013482919613612619
2023-06-29 16:00:00+00:00,2023-06-30 04:40:00+00:00,-1,30468.2,31077.564000000002,-0.020800000000000044,-0.020000000000000046,stop,initial_SL,2023,0.008080556120807948,0.020736374318141515,0.028080556120807995,0.38968027856916904,-2.4750771730300554,1,264,760,1.3154065220866242,0.014318638719764961,1,-0.0013064008969076507
2023-06-30 08:00:00+00:00,2023-06-30 16:42:00+00:00,-1,30759.2,30385.0,0.011365465941897081,0.012165465941897081,stop,trailing,2023,0.04093734557465736,0.011967151291320923,0.028771879632760282,3.4208095626188695,0.2971728081321478,0,348,522,1.42785844205617,0.013141188388882489,2,-0.020800000000000044
2023-07-01 00:00:00+00:00,2023-07-05 10:38:00+00:00,1,30460.2,30453.344,-0.001025080596975718,-0.00022508059697571805,stop,trailing,2023,0.030695793198994098,0.010187063775024433,0.030920873795969816,3.0132130196584024,-0.0073326203208553655,0,4050,6398,1.2743281237924566,0.013443562582072901,0,0.011365465941897081
2023-07-05 16:00:00+00:00,2023-07-06 12:09:00+00:00,1,30345.1,30620.96,0.008290759298865405,0.009090759298865405,stop,trailing,2023,0.040299751854500444,0.0013214654095718434,0.03120899255563504,30.49625935162209,0.22557854280807937,0,1021,1209,1.2812145273483946,0.01330472651898496,1,-0.001025080596975718
2023-07-06 16:00:00+00:00,2023-07-07 00:02:00+00:00,1,30390.3,29782.494,-0.020800000000000016,-0.020000000000000018,stop,initial_SL,2023,0.0019874762670984312,0.023372589280132125,0.02198747626709845,0.08503449246797341,-10.063013245032879,1,6,482,1.1781798533482655,0.010385399103198712,0,0.008290759298865405
2023-07-07 08:00:00+00:00,2023-07-10 21:57:00+00:00,1,29992.9,30108.8,0.0030642478719962994,0.0038642478719962993,stop,trailing,2023,0.034911595744326104,0.0021371724641499213,0.031047347872329805,16.33541341653608,0.11068665838983667,0,5047,5157,0.4329371670073699,0.010682360398328497,1,-0.020800000000000016
2023-07-11 00:00:00+00:00,2023-07-13 15:44:00+00:00,-1,30396.9,31004.838000000003,-0.02080000000000006,-0.020000000000000063,stop,initial_SL,2023,0.006938207514582127,0.021140313650405092,0.026938207514582188,0.32819794584500767,-2.882588904694157,1,2616,3824,0.3959017776317623,0.008091879685103954,0,0.0030642478719962994
2023-07-13 16:00:00+00:00,2023-07-13 19:25:00+00:00,-1,30915.5,31533.81,-0.02080000000000004,-0.020000000000000042,stop,initial_SL,2023,0.006970613446329511,0.023887693875240576,0.026970613446329554,0.2918077183480027,-2.869187935034809,1,34,205,0.436223097228718,0.00811994936662031,1,-0.02080000000000006
2023-07-14 00:00:00+00:00,2023-07-20 08:47:00+00:00,-1,31441.6,30282.0,0.03608107475446538,0.03688107475446538,stop,trailing,2023,0.06493308228588872,0.006310111444710239,0.02805200753142334,10.290322580645078,0.5679858934169276,0,6768,9167,0.4726425579762843,0.008298648046818066,2,-0.02080000000000004
2023-07-20 16:00:00+00:00,2023-07-23 19:07:00+00:00,-1,29792.9,30352.864,-0.019595216309926188,-0.01879521630992619,stop,trailing,2023,0.010878430767062023,0.0193099698250254,0.029673647076988212,0.5633582478706807,-1.7277506942301644,1,149,4507,0.6623956500495903,0.008374862372391562,0,0.03608107475446538
2023-07-25 00:00:00+00:00,2023-08-01 02:10:00+00:00,1,29163.8,28780.385,-0.013946949300159817,-0.013146949300159817,stop,trailing,2023,0.017374279072000245,0.016427900342205013,0.030521228372160064,1.0576080150281826,-0.7566903493191244,0,2681,10210,0.7118679597750043,0.00824575802653856,1,-0.019595216309926188
2023-08-02 08:00:00+00:00,2023-08-08 12:45:00+00:00,-1,29570.2,29542.769,0.00012765689782282474,0.0009276568978228248,stop,trailing,2023,0.03002685135710957,0.0009739535072471364,0.029099194459286746,30.82986111111194,0.03089424484739323,0,7695,8925,0.5143147222828487,0.006847990631092686,2,-0.013946949300159817
2023-08-08 16:00:00+00:00,2023-08-08 21:20:00+00:00,-1,29517.5,30107.850000000002,-0.020800000000000072,-0.020000000000000073,stop,initial_SL,2023,4.742949097997646e-05,0.020005081731176422,0.02004742949098005,0.0023708721422547926,-421.6785714281347,1,0,320,0.6928312486697572,0.0059830258910587575,0,0.00012765689782282474
2023-08-09 00:00:00+00:00,2023-08-17 21:45:00+00:00,-1,29758.9,25318.43,0.1484148567319357,0.14921485673193569,stop,trailing,2023,0.1739950065358599,0.01313220582750032,0.024780149803924206,13.249488229273313,0.8575812588114873,0,12824,12825,0.7465929990293604,0.00608704991890525,1,-0.020800000000000072
2023-08-18 00:00:00+00:00,2023-08-18 14:54:00+00:00,1,26609.7,26077.506,-0.020799999999999978,-0.01999999999999998,stop,initial_SL,2023,0.007827972506266484,0.025543316910750617,0.027827972506266466,0.3064587317934369,-2.55493999039847,1,12,894,0.9154537390199137,0.00895757288191121,0,0.1484148567319357
2023-08-18 16:00:00+00:00,2023-08-22 21:26:00+00:00,1,25993.1,25511.0,-0.019347229841765644,-0.018547229841765645,stop,trailing,2023,0.011806979544571501,0.025202842292762255,0.030354209386337146,0.46847809494733955,-1.5708699902248167,1,169,6086,1.7453536812362784,0.009102609543755729,1,-0.020799999999999978
2023-08-23 00:00:00+00:00,2023-08-24 15:54:00+00:00,1,26044.5,26001.82,-0.002438733705772823,-0.001638733705772823,stop,trailing,2023,0.02923841886002803,0.009387778609687265,0.030877152565800852,3.1145194274028634,-0.05604727511490517,0,1187,2394,1.9451465492610287,0.00923417274585204,2,-0.019347229841765644
2023-08-25 16:00:00+00:00,2023-08-30 03:20:00+00:00,1,25917.3,27322.96,0.05343635949732418,0.05423635949732418,stop,trailing,2023,0.08684160772920022,0.0037542490923051118,0.032605248231876036,23.131551901336255,0.6245434753632201,0,5787,6440,1.676743234781065,0.009519252334734827,3,-0.002438733705772823
2023-08-30 08:00:00+00:00,2023-09-03 12:36:00+00:00,-1,27427.1,26071.36,0.0486306725829562,0.0494306725829562,stop,trailing,2023,0.07711715784753032,0.009012983509011188,0.027686485264574116,8.556229773462752,0.6409815138764119,0,3462,6036,1.3241159605914707,0.013033554653767166,0,0.05343635949732418
2023-09-03 16:00:00+00:00,2023-09-07 21:00:00+00:00,-1,25858.2,26085.780000000002,-0.00960107664106557,-0.00880107664106557,stop,trailing,2023,0.02058147898925682,0.012715502239134946,0.02938255563032239,1.618613138686137,-0.42762119503946155,0,4385,6060,1.0058305774903347,0.011430234371186678,0,0.0486306725829562
2023-09-08 08:00:00+00:00,2023-09-12 03:17:00+00:00,-1,26244.0,25634.64,0.022419021490626453,0.023219021490626452,stop,trailing,2023,0.051668952903520804,0.0005296448712087127,0.028449931412894352,97.55395683452215,0.44938053097345176,0,5042,5477,1.0008908452051393,0.011582177345048465,1,-0.00960107664106557
2023-09-12 16:00:00+00:00,2023-09-14 00:59:00+00:00,-1,26192.3,26522.5,-0.013406758474818963,-0.012606758474818963,stop,trailing,2023,0.016886642257457316,0.014802060147447942,0.029493400732276277,1.1408305390766016,-0.7465521139498107,0,487,1979,0.8540476378623254,0.012858554453887023,0,0.022419021490626453
2023-09-14 16:00:00+00:00,2023-09-18 10:19:00+00:00,-1,26680.0,26992.798,-0.0125240629685157,-0.0117240629685157,stop,trailing,2023,0.0177436281859071,0.01191904047976012,0.029467691154422798,1.4886792452830233,-0.6607477820025305,0,1368,5419,0.8694465675646386,0.010202239489434453,1,-0.013406758474818963
2023-09-18 16:00:00+00:00,2023-09-19 09:41:00+00:00,-1,27258.8,27409.536,-0.006329810556590929,-0.005529810556590928,stop,trailing,2023,0.02375746547903791,0.007747956623182266,0.029287276035628838,3.066287878787861,-0.23276096355775344,0,161,1061,0.5124016364188484,0.009156024187244101,2,-0.0125240629685157
2023-09-19 16:00:00+00:00,2023-09-27 11:48:00+00:00,-1,27413.3,26743.95,0.02361698007901269,0.02441698007901269,stop,trailing,2023,0.0528320194941871,0.0021595356998245644,0.028415039415174412,24.464527027026712,0.46216253538631424,0,7703,11268,0.4567898882305645,0.010044761737983314,3,-0.006329810556590929
2023-09-28 16:00:00+00:00,2023-10-01 22:15:00+00:00,-1,27012.3,27423.75,-0.01603194988949481,-0.015231949889494813,stop,trailing,2023,0.014337912728645813,0.018054738026750804,0.029569862618140624,0.7941357391839219,-1.0623547637490356,1,1329,4695,0.6209005339764416,0.008007418810492363,0,0.02361698007901269
2023-10-02 08:00:00+00:00,2023-10-05 13:15:00+00:00,-1,28299.2,27936.690000000002,0.012009902753434668,0.012809902753434669,stop,trailing,2023,0.04156301238197549,0.011088652682761324,0.028753109628540822,3.748247291268335,0.3082043870090105,0,2166,4635,0.7528630803441927,0.009002285162294756,1,-0.01603194988949481
2023-10-06 00:00:00+00:00,2023-10-09 09:49:00+00:00,1,27398.3,27596.5,0.006434025468733488,0.0072340254687334885,stop,trailing,2023,0.03838559326673555,0.008843614384834069,0.031151567798002065,4.340486999587305,0.18845678425406542,0,1298,4909,1.0303150079106669,0.008322818830388774,0,0.012009902753434668
2023-10-10 00:00:00+00:00,2023-10-11 02:34:00+00:00,1,27578.4,27026.832000000002,-0.02079999999999997,-0.019999999999999973,stop,initial_SL,2023,0.005399152960287682,0.020247730107620508,0.025399152960287656,0.26665472779369165,-3.7042847548690894,1,503,1594,0.9711782420839444,0.008217237132945414,0,0.006434025468733488
2023-10-11 16:00:00+00:00,2023-10-16 13:31:00+00:00,1,26769.2,29798.399999999998,0.1123599001837932,0.1131599001837932,stop,trailing,2023,0.1475875259626735,0.009122424278648624,0.0344276257788803,16.178542178542127,0.766730788701022,0,7050,7051,0.9866371602088566,0.008675711383244867,1,-0.02079999999999997
2023-10-17 00:00:00+00:00,2023-10-18 04:56:00+00:00,-1,28486.3,28896.65,-0.015205170204624757,-0.014405170204624757,stop,trailing,2023,0.015140611451820675,0.021543689422634765,0.029545781656445433,0.7027863777089763,-0.9514259216322812,1,247,1736,1.461703485018653,0.008081569129194601,0,0.1123599001837932
