et,xt,et_fill,xt_fill,side,entry,exit,R,mae,fund,reason,x_int,year,tp,fills,atr60,slip_bp
2023-05-10 04:00:00,2023-05-10 12:00:00,2023-05-10 04:00:00,2023-05-10 12:30:00,-1,27550.001780000002,27759.25284373774,-0.00814746942715316,-0.005880152796127974,-4.784999999999989e-05,fibstop,27759.25284373774,2023,False,,0.00037668823831996296,0.0
2023-05-10 16:00:00,2023-05-11 08:00:00,2023-05-10 16:00:00,2023-05-11 10:40:00,-1,27714.3818,27458.14924835306,0.008730692386720858,-0.020769656857364965,-8.522e-05,fibstop,27458.14924835306,2023,False,,0.00037668823831996296,0.0
2023-05-12 08:00:00,2023-05-12 16:00:00,2023-05-12 08:00:00,2023-05-12 19:25:00,1,26268.41114,25997.790883224363,-0.010941757449484888,-0.0018429413085545364,3.9640000000000074e-05,fibstop,25997.790883224363,2023,False,,0.00037668823831996296,0.0
2023-05-12 20:00:00,2023-05-13 08:00:00,2023-05-12 20:00:00,2023-05-13 08:20:00,1,26710.2476,26749.742495501163,0.0008248920587566602,-0.013580840036840347,5.374999999999998e-05,fibstop,26749.742495501163,2023,False,,0.00037668823831996296,0.0
2023-05-13 20:00:00,2023-05-14 08:00:00,2023-05-13 20:00:00,2023-05-14 08:39:00,-1,26800.9347,26866.94311034153,-0.0030457644871401952,-0.004763464462304627,-1.7150000000000064e-05,fibstop,26866.94311034153,2023,False,,0.00037668823831996296,0.0
2023-05-14 16:00:00,2023-05-15 00:00:00,2023-05-14 16:00:00,2023-05-15 01:25:00,-1,26883.9042,27074.102433406824,-0.007639429552619422,-0.008599785145789862,-3.537000000000006e-05,fibstop,27074.102433406824,2023,False,,0.00037668823831996296,0.0
2023-05-15 08:00:00,2023-05-15 16:00:00,2023-05-15 08:00:00,2023-05-15 16:39:00,-1,27348.35464,27538.407949939294,-0.0075651107906072835,-0.006459085466941956,1.576000000000008e-05,fibstop,27538.407949939294,2023,False,,0.00037668823831996296,0.0
2023-05-15 20:00:00,2023-05-16 12:00:00,2023-05-15 20:00:00,2023-05-16 12:17:00,-1,27180.59464,27090.151294356907,0.0028457469455595566,-0.008443721082623055,-0.00011824999999999965,fibstop,27090.151294356907,2023,False,,0.00037668823831996296,0.0
2023-05-17 16:00:00,2023-05-18 00:00:00,2023-05-17 16:00:00,2023-05-18 00:01:00,1,27344.098500000004,27383.025850538343,0.0006790006755663909,-0.02245817319594587,0.00014460999999999988,fibstop,27383.025850538343,2023,False,,0.0006189093771189582,0.0
2023-05-18 20:00:00,2023-05-19 12:00:00,2023-05-18 20:00:00,2023-05-19 14:01:00,1,26775.05782,26827.976856228557,0.0013045303249805396,-0.003882636620203693,7.190000000000018e-05,fibstop,26827.976856228557,2023,False,,0.0007952274622524912,0.0
2023-05-20 20:00:00,2023-05-21 00:00:00,2023-05-20 20:00:00,2023-05-21 00:49:00,-1,27105.17608,27240.701960399998,-0.005599999999999882,-0.0009121475517085208,-0.0,fibstop,27240.701960399998,2023,False,,0.0004308416756087172,0.0
2023-05-21 04:00:00,2023-05-21 12:00:00,2023-05-21 04:00:00,2023-05-21 12:58:00,-1,27064.39792,26937.749133155703,0.004152154612913215,-0.0037725605536027594,-7.26199999999998e-05,fibstop,26937.749133155703,2023,False,,0.0001904154679963297,0.0
