sig,ic,wf,net_sharpe,info_sharpe,cpcv_p25,dsr,possibility,edge,deployable
mom_8h (단기방향 단독),-0.014679261647964905,0.75,-1.7036552441024493,-0.7490794067012371,-2.1358640817713397,1.7193963132319708e-06,True,False,False
mom_24h (중기방향 단독),-0.047589635440646184,0.875,-0.12725859360344985,0.4017855549496365,-0.3338232030030836,0.032581945103667125,True,False,False
mom_72h (장기방향 단독),-0.02103219810296459,0.75,-0.3961949235235128,-0.09936634587177623,-1.014868000096704,0.010315534265275414,True,False,False
oi_z (OI확신 단독),-0.03701809283591955,0.75,0.02360744892451768,0.9044401191112477,-0.9163776265678387,0.05693103981485155,True,False,False
★combo_8h = mom8×ΔOI,0.009414966803062256,0.5,-0.6315288504889648,0.26565788791634626,-1.2053220312647612,0.003333137167996616,False,False,False
★combo_24h = mom24×ΔOI,0.0025984994687954467,0.25,-0.9687722113035774,0.014001573491938325,-1.6934841242390828,0.00048376605294500597,False,False,False
★combo_72h = mom72×ΔOI,-0.007496076187241458,0.25,-0.4691172048604004,0.44535375740891586,-0.9032591751588993,0.007528021153880404,False,False,False
gated_24h (OI상승때만 mom),-0.034181632036827066,0.625,-0.5431354495580862,0.406475117548181,-1.1017115780175057,0.005097285209300991,True,False,False
◆mr_absOI = mom24×|OIz|,-0.03269826575106424,0.625,-0.5026632188999243,0.12795423657229474,-0.7205862818270052,0.006155417490309275,True,False,False
◆mr_OI = mom24×OIz,0.009511989726760506,0.5,0.09715941500950685,0.9034085182849233,-0.6490281219125138,0.07288017507877476,False,False,False
◆mom24_OIhi (OI극단때만 fade),-0.020644425704876384,0.875,-1.0723280939825133,-0.17632419762350743,-1.2591396709939915,0.00024211693743826074,True,False,False
