side,R,R_real,reason,mae,mae_real,size_pct,fund,year
1,-0.0103999999999999,-0.0103999999999999,sl_intrabar,-0.0103211950185031,-0.0103211950185031,7.0864,0.0,2023
1,0.0188841956305342,-0.4163559376940136,sl_intrabar,-0.0081475500168079,-0.0081475500168079,7.0864,0.0,2023
1,-0.0103999999999999,-0.0103999999999999,sl_intrabar,-0.0102804232255923,-0.0102804232255923,7.0864,0.0,2023
-1,0.0199986497716474,0.0199986497716474,sl_intrabar,-0.0046616984488224,-0.0046616984488224,7.0864,0.0007,2023
-1,0.0289417798358489,0.0289417798358489,sl_intrabar,-0.0054335723511335,-0.0054335723511335,7.0864,0.0007,2023
-1,0.0276714126642416,-0.5604215277262274,sl_intrabar,-0.0017829284599955,-0.0017829284599955,7.0864,0.0,2023
-1,-0.0104,-0.0104,sl_intrabar,-0.0101329044520798,-0.0101329044520798,7.0864,0.0,2023
-1,-0.0108,-0.0108,sl_intrabar,-0.0094379334999153,-0.009999999999999929,7.0864,0.0004,2023
-1,0.0232890767325462,0.0232890767325462,sl_intrabar,-0.0064516365394901,-0.0064516365394901,7.0864,0.0009,2023
-1,-0.0105,-0.0105,sl_intrabar,-0.0101435893598713,-0.0101435893598713,4.2518,0.0001,2023
-1,-0.0103999999999999,-0.0103999999999999,sl_intrabar,-0.009661939773957,-0.00999999999999995,7.0864,0.0,2023
-1,0.0184394393002232,-0.2875701496907362,sl_intrabar,-0.00185494817487,-0.00185494817487,7.0864,0.0,2023
-1,0.020601998184832,0.020601998184832,sl_intrabar,-0.006303931238023,-0.006303931238023,4.2518,0.0006,2023
-1,-0.0107,-0.0107,sl_intrabar,-0.009394439031702,-0.010000000000000028,4.2518,0.0003,2023
-1,-0.0103999999999999,-0.0103999999999999,sl_intrabar,-0.0098921222344583,-0.009999999999999998,7.0864,0.0,2023
1,-0.0104,-0.0104,sl_intrabar,-0.0094728980779056,-0.01,4.2518,0.0,2023
1,-0.0104,-0.0104,sl_intrabar,-0.0099536112572899,-0.009999999999999903,4.2518,0.0,2023
1,-0.0104999999999999,-0.0104999999999999,sl_intrabar,-0.0101135568950014,-0.0101135568950014,4.2518,0.0001,2023
1,-0.0104999999999999,-0.0104999999999999,sl_intrabar,-0.0099963171835008,-0.009999999999999966,7.0864,0.0001,2023
1,-0.0104,-0.0104,sl_intrabar,-0.0101421376979656,-0.0101421376979656,4.2518,0.0,2023
1,-0.0106,-0.0106,sl_intrabar,-0.0102287976111432,-0.0102287976111432,4.2518,0.0002,2023
1,-0.0106,-0.0106,sl_intrabar,-0.0102073740339634,-0.0102073740339634,4.2518,0.0002,2023
1,-0.0104,-0.0104,sl_intrabar,-0.0108146075820592,-0.0108146075820592,7.0864,0.0,2023
-1,-0.0103999999999999,-0.0103999999999999,sl_intrabar,-0.0097292214680088,-0.009999999999999972,4.2518,0.0,2023
-1,0.0447509374240897,-0.6398270193079203,sl_intrabar,-0.0009416161222336,-0.0009416161222336,7.0864,0.0,2023
-1,-0.0104,-0.0104,sl_intrabar,-0.0080603767533846,-0.010000000000000064,4.2518,0.0,2023
-1,-0.0103999999999999,-0.0103999999999999,sl_intrabar,-0.0096178787351407,-0.009999999999999997,4.2518,0.0,2023
-1,-0.0105,-0.0105,sl_intrabar,-0.0101677892892742,-0.0101677892892742,4.2518,0.0001,2023
-1,0.0333060602398718,0.0333060602398718,sl_intrabar,-0.0016691338630253,-0.0016691338630253,4.2518,0.0007,2023
-1,-0.0104,-0.0104,sl_intrabar,-0.0104371821231468,-0.0104371821231468,4.2518,0.0,2023
-1,-0.0103999999999999,-0.0103999999999999,sl_intrabar,-0.0099266055747635,-0.009999999999999988,4.2518,0.0,2023
-1,-0.0111999999999999,-0.0111999999999999,sl_intrabar,-0.0105718412386619,-0.0105718412386619,4.2518,0.0008,2023
-1,0.0470336004557823,-0.8602806569862884,sl_intrabar,-0.003142698750412,-0.003142698750412,7.0864,0.0,2023
-1,0.0028118674293659,0.0028118674293659,sl_intrabar,-0.0092729746070133,-0.0092729746070133,7.0864,0.0003,2023
-1,-0.0104,-0.0104,sl_intrabar,-0.0092971967931284,-0.01000000000000006,7.0864,0.0,2023
1,0.1033290238986467,0.1033290238986467,sl_intrabar,-0.0010146330230667,-0.0010146330230667,4.2518,0.0017,2023
1,-0.0107999999999999,-0.0107999999999999,sl_intrabar,-0.0100097825120304,-0.0100097825120304,4.2518,0.0004,2023
1,0.0168110657030265,-0.2974871691360786,sl_intrabar,-0.0029109134360063,-0.0029109134360063,7.0864,0.0,2023
1,-0.0104,-0.0104,sl_intrabar,-0.009747191011236,-0.009999999999999936,4.2518,0.0,2023
1,-0.0104,-0.0104,sl_intrabar,-0.0085276563687256,-0.009999999999999917,4.2518,0.0,2023
1,-0.0109,-0.0109,sl_intrabar,-0.0100324914012655,-0.0100324914012655,4.2518,0.0005,2023
