et,xt,side,entry,exit,ret,reason,year
2023-05-02 00:00:00+00:00,2023-05-05 12:30:00+00:00,1,28054.5,28664.469999999998,0.020942322978488213,trail/sl,2023
2023-05-05 16:00:00+00:00,2023-05-10 12:45:00+00:00,-1,29347.5,28067.5,0.04281529942925291,trail/sl,2023
2023-05-10 16:00:00+00:00,2023-05-10 17:57:00+00:00,-1,28141.2,27466.597999999998,0.023172040993276855,trail/sl,2023
2023-05-11 00:00:00+00:00,2023-05-11 14:04:00+00:00,1,27583.0,27031.34,-0.020799999999999992,trail/sl,2023
2023-05-12 08:00:00+00:00,2023-05-12 19:26:00+00:00,1,26294.0,25801.418,-0.019533627443523178,trail/sl,2023
2023-05-13 00:00:00+00:00,2023-05-17 07:45:00+00:00,1,26785.2,26820.5,0.0005178919701924672,trail/sl,2023
2023-05-19 00:00:00+00:00,2023-05-24 03:36:00+00:00,1,26809.4,26701.675,-0.004818180190530269,trail/sl,2023
2023-05-25 00:00:00+00:00,2023-05-29 15:36:00+00:00,1,26313.9,27588.739999999998,0.04764739852321383,trail/sl,2023
2023-05-31 00:00:00+00:00,2023-05-31 05:01:00+00:00,1,27680.0,27126.399999999998,-0.02080000000000008,trail/sl,2023
2023-05-31 16:00:00+00:00,2023-06-02 00:38:00+00:00,1,26900.0,26527.463,-0.014648959107806702,trail/sl,2023
2023-06-02 16:00:00+00:00,2023-06-06 14:03:00+00:00,-1,27081.3,26081.248,0.03612776934637553,trail/sl,2023
2023-06-07 08:00:00+00:00,2023-06-10 17:43:00+00:00,-1,26786.8,26115.65,0.02425525109382225,trail/sl,2023
2023-06-11 00:00:00+00:00,2023-06-14 20:05:00+00:00,1,25826.6,25637.585,-0.008118617239590167,trail/sl,2023
2023-06-15 00:00:00+00:00,2023-06-21 17:11:00+00:00,1,25115.9,29897.34,0.1895750214007859,trail/sl,2023
2023-06-22 00:00:00+00:00,2023-06-23 15:05:00+00:00,-1,29988.5,30385.103,-0.014025169648365178,trail/sl,2023
2023-06-23 16:00:00+00:00,2023-06-27 11:50:00+00:00,-1,31232.9,30786.803,0.013482919613612619,trail/sl,2023
